STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/21/1921,,,0.03,0,,,68,48,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/22/1921,,,0,0,,,64,49,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/23/1921,,,0,0,,,65,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/24/1921,,,0,0,,,63,53,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/25/1921,,,0,0,,,64,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/26/1921,,,0,0,,,70,48,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/27/1921,,,0,0,,,60,49,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/28/1921,,,0.01,0,,,59,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/29/1921,,,0.12,0,,,60,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/30/1921,,,0,0,,,55,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/31/1921,,,0,0,,,60,49,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/1/1921,,,0,0,,,62,49,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/2/1921,,,0,0,,,63,49,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/3/1921,,,0,0,,,65,53,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/4/1921,,,0,0,,,64,52,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/5/1921,,,0,0,,,81,54,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/6/1921,,,0,0,,,70,55,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/7/1921,,,0,0,,,61,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/8/1921,,,0,0,,,74,49,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/9/1921,,,0,0,,,80,56,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/10/1921,,,0,0,,,84,63,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/11/1921,,,0,0,,,79,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/12/1921,,,0,0,,,62,52,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/13/1921,,,0,0,,,66,53,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/14/1921,,,0,0,,,63,52,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/15/1921,,,0,0,,,61,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/16/1921,,,0,0,,,67,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/17/1921,,,0,0,,,67,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/18/1921,,,0,0,,,68,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/19/1921,,,0,0,,,73,53,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/20/1921,,,0,0,,,78,59,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/21/1921,,,0,0,,,90,63,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/22/1921,,,0,0,,,78,55,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/23/1921,,,0,0,,,64,53,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/24/1921,,,0,0,,,64,52,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/25/1921,,,0,0,,,61,54,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/26/1921,,,0,0,,,66,53,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/27/1921,,,0,0,,,64,54,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/28/1921,,,0,0,,,63,54,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/29/1921,,,0,0,,,72,55,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/30/1921,,,0,0,,,69,58,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/1/1921,,,0,0,,,76,54,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/2/1921,,,0,0,,,85,60,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/3/1921,,,0,0,,,85,62,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/4/1921,,,0,0,,,64,53,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/5/1921,,,0,0,,,82,52,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/6/1921,,,0,0,,,94,61,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/7/1921,,,0,0,,,90,61,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/8/1921,,,0,0,,,79,56,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/9/1921,,,0,0,,,64,54,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/10/1921,,,0,0,,,60,52,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/11/1921,,,0,0,,,62,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/12/1921,,,0,0,,,61,52,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/13/1921,,,0,0,,,64,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/14/1921,,,0,0,,,61,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/15/1921,,,0,0,,,64,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/16/1921,,,0,0,,,64,52,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/17/1921,,,0,0,,,56,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/18/1921,,,0,0,,,58,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/19/1921,,,0,0,,,62,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/20/1921,,,0,0,,,65,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/21/1921,,,0,0,,,63,52,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/22/1921,,,0,0,,,60,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/23/1921,,,0,0,,,62,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/24/1921,,,0,0,,,59,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/25/1921,,,0,0,,,68,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/26/1921,,,0,0,,,60,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/27/1921,,,0,0,,,64,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/28/1921,,,0,0,,,61,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/29/1921,,,0,0,,,59,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/30/1921,,,0,0,,,59,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/31/1921,,,0,0,,,64,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/1/1921,,,0,0,,,64,54,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/2/1921,,,0,0,,,64,52,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/3/1921,,,0,0,,,69,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/4/1921,,,0,0,,,69,52,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/5/1921,,,0,0,,,66,52,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/6/1921,,,0,0,,,63,54,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/7/1921,,,0,0,,,63,54,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/8/1921,,,0,0,,,60,54,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/9/1921,,,0,0,,,62,54,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/10/1921,,,0,0,,,60,53,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/11/1921,,,0,0,,,61,52,
