STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/25/1948,0,0,0,,62,34,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/26/1948,0,0,0,,52,27,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/27/1948,0,0,0,,50,24,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/28/1948,0,0,0,,66,27,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/29/1948,0,0,0,,65,43,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/30/1948,0.18,1.4,0,,58,27,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/31/1948,0.13,1.3,0,,43,22,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/1/1948,0,0,0,,57,31,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/2/1948,0,0,0,,68,28,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/3/1948,0,0,0,,68,42,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/4/1948,0,0,0,,64,40,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/5/1948,0,0,0,,66,32,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/6/1948,0,0,0,,66,30,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/7/1948,0,0,0,,57,31,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/8/1948,0,0,0,,62,25,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/9/1948,0,0,0,,69,32,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/10/1948,0,0,0,,76,42,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/11/1948,0.12,1.3,1,,47,31,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/12/1948,0,0,0,,53,28,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,4/13/1948,0,0,0,,62,28,
