STATION,NAME,DATE,DAPR,MDPR,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDFM,WSF1,WSFG,WSFM,WT01,WT03,WT04,WT05,WT08,WT11,WT16,WT18
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/23/1921,,,0,,0,,,67,57,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/24/1921,,,0,,0,,,70,55,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/25/1921,,,0,,0,,,74,55,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/26/1921,,,0,,0,,,88,60,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/27/1921,,,0,,0,,,92,65,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/28/1921,,,0,,0,,,93,63,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/29/1921,,,0,,0,,,76,54,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/30/1921,,,0,,0,,,69,54,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/1/1921,,,0,,0,,,66,55,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/2/1921,,,0,,0,,,67,56,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/3/1921,,,0,,0,,,67,56,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/4/1921,,,0.03,,0,,,64,55,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/5/1921,,,0,,0,,,60,56,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/6/1921,,,0,,0,,,61,56,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/7/1921,,,0,,0,,,72,56,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/8/1921,,,0,,0,,,65,56,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/9/1921,,,0,,0,,,61,55,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/10/1921,,,0,,0,,,66,56,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/11/1921,,,0,,0,,,65,55,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/12/1921,,,0,,0,,,64,56,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/13/1921,,,0,,0,,,68,57,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/14/1921,,,0.13,,0,,,65,57,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/15/1921,,,0,,0,,,69,55,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/16/1921,,,0,,0,,,73,55,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/17/1921,,,0,,0,,,75,55,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/18/1921,,,0,,0,,,84,59,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/19/1921,,,0,,0,,,85,60,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/20/1921,,,0,,0,,,74,57,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/21/1921,,,0,,0,,,67,53,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/22/1921,,,0.18,,0,,,62,51,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/23/1921,,,0,,0,,,60,51,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/24/1921,,,0,,0,,,62,51,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",10/25/1921,,,0,,0,,,64,53,,,,,,,,,,,,,,
