name,treatment,Init/Final tag,replicate,count,,,,,,,,,,,,,,,,,,,,,
,0,initial,2,c2,,,,,,,,,,,,,,,,,,,,,
,0,initial,3,c3,,,,,,,,,,,,,,,,,,,,,
,0,initial,4,c4,,,,,,,,,,,,,,,,,,,,,
,0,initial,5,c5,,,,,,,,,,,,,,,,,,,,,
c1,1,initial,1,c1,,,,,,,,,,,,,,,,,,,,,
,0,initial,2,c2,,,,,,,,,,,,,,,,,,,,,
,0,initial,3,c3,,,,,,,,,,,,,,,,,,,,,
,1,initial,4,c4,,,,,,,,,,,,,,,,,,,,,
,0,initial,5,c5,,,,,,,,,,,,,,,,,,,,,
c2,1,initial,1,c1,,,,,,,,,,,,,,,,,,,,,
,2,initial,2,c2,,,,,,,,,,,,,,,,,,,,,
,0,initial,3,c3,,,,,,,,,,,,,,,,,,,,,
,0,initial,4,c4,,,,,,,,,,,,,,,,,,,,,
