"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25","NO2"
"09/19/1981","39","CO","","41-051-0075","AQS","39","29","29",".","30"
"09/20/1981","39","CO","","41-051-0075","AQS","39","25","16",".","22"
"09/21/1981","60","CO","","41-051-1002","AQS","60","30","10",".","34"
"09/22/1981","104","SO2","","41-051-0074","AQS","57","29","104",".","33"
"09/23/1981","63","CO","","41-051-1002","AQS","63","31","24",".","35"
"09/24/1981","69","SO2","","41-051-0074","AQS","63","31","69",".","."
"09/25/1981","66","CO","","41-051-1002","AQS","66","29","24",".","."
"09/26/1981","53","CO","","41-051-0075","AQS","53","16","19",".","."
"09/27/1981","45","CO","","41-051-1002","AQS","45","29","11",".","."
"09/28/1981","47","CO","","41-051-1002","AQS","47","21","9",".","."
"09/29/1981","49","CO","","41-051-1002","AQS","49","32","29",".","."
"09/30/1981","62","CO","","41-051-0078","AQS","62","31","36",".","."
"10/01/1981","81","CO","","41-051-1002","AQS","81","33","43",".","."
"10/02/1981","71","SO2","","41-051-0074","AQS","61","28","71",".","."
"10/03/1981","59","CO","","41-051-1002","AQS","59","31","24",".","."
"10/04/1981","68","CO","","41-051-0075","AQS","68","25","27",".","."
"10/05/1981","115","CO","","41-051-1002","AQS","115","18","30",".","."
"10/06/1981","98","CO","","41-051-1002","AQS","98","30","13",".","."
"10/07/1981","65","CO","","41-051-1002","AQS","65","29","9",".","."
"10/08/1981","58","CO","","41-051-1002","AQS","58","27","6",".","."
"10/09/1981","75","CO","","41-051-0078","AQS","75","21","52",".","."
"10/10/1981","51","CO","","41-051-0078","AQS","51","19","49",".","."
"10/11/1981","108","SO2","","41-051-0074","AQS","47","23","108",".","."
"10/12/1981","79","SO2","","41-051-0074","AQS","61","16","79",".","."
"10/13/1981","75","CO","","41-051-0078","AQS","75","19","60",".","."
"10/14/1981","83","CO","","41-051-0078","AQS","83","20","81",".","."
"10/15/1981","105","SO2","","41-051-0074","AQS","103","25","105",".","."
"10/16/1981","118","CO","","41-051-1002","AQS","118","31","81",".","."
"10/17/1981","133","CO","","41-051-0075","AQS","133","19","94",".","."
"10/18/1981","84","CO","","41-051-0075","AQS","84","33","59",".","."
"10/19/1981","110","SO2","","41-051-0074","AQS","85","11","110",".","."
"10/20/1981","133","SO2","","41-051-0074","AQS","55","30","133",".","."
"10/21/1981","116","SO2","","41-051-0074","AQS","50","31","116",".","."
"10/22/1981","82","SO2","","41-051-0074","AQS","48","31","82",".","."
"10/23/1981","138","CO","","41-051-0075","AQS","138","28","65",".","."
"10/24/1981","150","CO","","41-051-0075","AQS","150","41","74",".","."
"10/25/1981","79","CO","","41-051-0075","AQS","79","24","57",".","."
"10/26/1981","86","CO","","41-051-1002","AQS","86","16","43",".","."
"10/27/1981","151","CO","","41-051-1002","AQS","151","29","23",".","."
"10/28/1981","75","CO","","41-051-1002","AQS","75","29","14",".","."
"10/29/1981","69","CO","","41-051-1002","AQS","69","27","16",".","."
"10/30/1981","99","CO","","41-051-1002","AQS","99","27","17",".","."
"10/31/1981","82","CO","","41-051-0075","AQS","82","22","39",".","."
"11/01/1981","116","CO","Portland - SE Lafayette","41-051-0080","AQS","116","14","67",".","."
"11/02/1981","87","CO","","41-051-1002","AQS","87","9","74",".","."
"11/03/1981","80","SO2","","41-051-0074","AQS","69","28","80",".","."
"11/04/1981","136","SO2","","41-051-0074","AQS","56","20","136",".","."
"11/05/1981","127","SO2","","41-051-0074","AQS","63","31","127",".","."
"11/06/1981","109","CO","","41-051-1002","AQS","109","20","75",".","."
