"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"10/18/2015","69","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","9","12","1","16","69","20"
"10/19/2015","48","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","8","20","1",".","48","26"
"10/20/2015","36","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","11","19","3",".","36","25"
"10/21/2015","46","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","13","17","3","24","46","24"
"10/22/2015","37","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","9","23","3",".","37","28"
"10/23/2015","53","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","13","9","3",".","53","22"
"10/24/2015","60","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","13","26","3","20","60","21"
"10/25/2015","30","PM2.5","SAUVIE ISLAND-SIS","41-009-0004","AQS","7","24","0",".","30","17"
"10/26/2015","28","PM2.5","YACOLT - YACOLT RD","53-011-0022","AQS","11","24","0",".","28","26"
"10/27/2015","52","PM2.5","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","11","8","3","17","52","21"
"10/28/2015","60","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","10","13","1",".","60","21"
"10/29/2015","34","PM2.5","SAUVIE ISLAND-SIS","41-009-0004","AQS","8","20","0",".","34","25"
"10/30/2015","24","PM2.5","SAUVIE ISLAND-SIS","41-009-0004","AQS","7","21","0","6","24","15"
"10/31/2015","25","Ozone","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","8","25","0",".","20","25"
"11/01/2015","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","31","0",".","16","19"
"11/02/2015","28","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","9","19","1","17","28","25"
"11/03/2015","45","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","10","16","1",".","45","28"
"11/04/2015","73","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","11","13","3",".","73","25"
"11/05/2015","72","PM2.5","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","7","18","0","19","72","22"
"11/06/2015","82","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","14","18","3",".","82","28"
"11/07/2015","62","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","16","17","3",".","62","15"
"11/08/2015","38","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","19","0","8","38","20"
"11/09/2015","46","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","13","19","3",".","46","29"
"11/10/2015","70","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","13","18","1",".","70","25"
"11/11/2015","58","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","7","18","0","16","58","28"
"11/12/2015","55","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","9","24","3",".","55","16"
"11/13/2015","40","PM2.5","SAUVIE ISLAND-SIS","41-009-0004","AQS","5","31","0",".","40","20"
"11/14/2015","32","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","3","31","0","9","32","14"
"11/15/2015","31","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","27","0",".","31","22"
"11/16/2015","28","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","24","0",".","28","26"
"11/17/2015","28","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","28","0","3","14","25"
"11/18/2015","30","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","15","18","1",".","30","29"
"11/19/2015","25","NO2","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","7","18","0",".","19","25"
"11/20/2015","33","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","25","1","9","33","22"
"11/21/2015","59","PM2.5","YACOLT - YACOLT RD","53-011-0022","AQS","3","24","0",".","59","8"
"11/22/2015","93","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","22","1",".","93","20"
"11/23/2015","97","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","11","14","3","30","97","20"
"11/24/2015","42","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","10","15","0",".","42","30"
"11/25/2015","64","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","13","20","4",".","64","36"
"11/26/2015","63","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","15","30","0","13","63","23"
"11/27/2015","55","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","6","29","0",".","55","25"
"11/28/2015","66","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","5","28","0",".","66","6"
"11/29/2015","97","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","25","0","12","97","21"
"11/30/2015","92","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","9","21","0",".","92","27"
"12/01/2015","75","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","16","0",".","75","22"
"12/02/2015","52","PM2.5","SAUVIE ISLAND-SIS","41-009-0004","AQS","7","15","0","11","52","14"
"12/03/2015","42","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","10","24","0",".","42","25"
"12/04/2015","26","NO2","Portland - SE Lafayette","41-051-0080","AQS","9","24","0",".","22","26"
"12/05/2015","61","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","9","16","0","5","61","14"
"12/06/2015","30","Ozone","Portland - SE Lafayette","41-051-0080","AQS","8","30","0",".","15","9"
"12/07/2015","29","NO2","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","8","24","0",".","11","29"
"12/08/2015","30","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","30","0","2","11","17"
"12/09/2015","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","31","0",".","16","31"
"12/10/2015","34","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","34","0",".","14","22"
"12/11/2015","25","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","25","0","4","15","22"
"12/12/2015","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","8","31","0",".","23","16"
"12/13/2015","32","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","32","0",".","16","22"
"12/14/2015","45","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","8","20","1","11","45","29"
"12/15/2015","43","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","8","17","0",".","43","25"
"12/16/2015","27","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","22","0",".","27","21"
"12/17/2015","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","31","0","2","18","16"
"12/18/2015","33","NO2","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","5","31","0",".","16","33"
"12/19/2015","28","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","28","0",".","25","19"
"12/20/2015","28","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","28","0","4","14","18"
"12/21/2015","30","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","30","0",".","8","25"
"12/22/2015","34","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","21","1",".","34","28"
"12/23/2015","26","NO2","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","6","23","0","6","19","26"
"12/24/2015","31","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","6","21","0",".","31","25"
"12/25/2015","64","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","11","17","1",".","64","21"
"12/26/2015","40","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","11","16","0","7","40","16"
"12/27/2015","54","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","16","0",".","54","15"
"12/28/2015","59","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","9","8","1",".","59","25"
"12/29/2015","40","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","10","15","1","9","40","21"
"12/30/2015","41","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","3","22","0",".","41","19"
"12/31/2015","35","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","3","26","0",".","35","6"
