"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25","NO2"
"04/26/1980","69","SO2","","41-051-0074","AQS","49","54","69",".","22"
"04/27/1980","143","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","26","143","43",".","37"
"04/28/1980","47","NO2","","41-051-1002","AQS","35","36","36",".","47"
"04/29/1980","80","SO2","","41-051-0074","AQS","36","31","80",".","31"
"04/30/1980","109","SO2","","41-051-0074","AQS","43","42","109",".","38"
"05/01/1980","103","SO2","","41-051-0074","AQS","54","44","103",".","63"
"05/02/1980","92","SO2","","41-051-0074","AQS","50","39","92",".","27"
"05/03/1980","126","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","45","126","86",".","60"
"05/04/1980","71","Ozone","","53-011-1001","AQS","49","71","56",".","58"
"05/05/1980","62","CO","","41-051-1002","AQS","62","31","17",".","48"
"05/06/1980","75","CO","","41-051-0078","AQS","75","38","64",".","37"
"05/07/1980","86","SO2","","41-051-0074","AQS","69","42","86",".","45"
"05/08/1980","45","NO2","","41-051-1002","AQS","42","24","6",".","45"
"05/09/1980","60","CO","","41-051-0079","AQS","60","32","1",".","58"
"05/10/1980","49","CO","","41-051-0079","AQS","49","31","47",".","40"
"05/11/1980","34","NO2","","41-051-1002","AQS","33","26","10",".","34"
"05/12/1980","57","CO","","41-051-1002","AQS","57","28","21",".","44"
"05/13/1980","67","NO2","","41-051-1002","AQS","52","37","20",".","67"
"05/14/1980","61","CO","","41-051-0078","AQS","61","37","16",".","46"
"05/15/1980","57","CO","","41-051-0078","AQS","57","35","20",".","46"
"05/16/1980","71","CO","","41-051-0078","AQS","71","39","36",".","68"
"05/17/1980","47","Ozone","","53-011-1001","AQS","43","47","9",".","39"
"05/18/1980","44","Ozone","","53-011-1001","AQS","32","44","31",".","39"
"05/19/1980","48","CO","","41-051-0075","AQS","48","43","27",".","46"
"05/20/1980","103","SO2","","41-051-0074","AQS","62","43","103",".","45"
"05/21/1980","56","CO","","41-051-0078","AQS","56","25","4",".","37"
"05/22/1980","61","CO","","41-051-1002","AQS","61","27","9",".","51"
"05/23/1980","74","SO2","","41-051-0074","AQS","48","28","74",".","37"
"05/24/1980","37","NO2","","41-051-1002","AQS","33","28","36",".","37"
"05/25/1980","28","CO","","41-051-0078","AQS","28","25","27",".","27"
"05/26/1980","43","SO2","","41-051-0074","AQS","36","23","43",".","36"
"05/27/1980","70","CO","","41-051-1002","AQS","70","25","9",".","."
"05/28/1980","105","SO2","","41-051-0074","AQS","50","28","105",".","."
"05/29/1980","120","SO2","","41-051-0074","AQS","43","25","120",".","."
"05/30/1980","67","SO2","","41-051-0074","AQS","50","29","67",".","57"
"05/31/1980","116","SO2","","41-051-0074","AQS","39","36","116",".","57"
"06/01/1980","43","SO2","","41-051-0074","AQS","19","29","43",".","25"
"06/02/1980","71","CO","","41-051-1002","AQS","71","24","13",".","61"
"06/03/1980","64","NO2","","41-051-1002","AQS","59","33","16",".","64"
"06/04/1980","107","SO2","","41-051-0074","AQS","44","34","107",".","34"
"06/05/1980","76","NO2","","41-051-1002","AQS","61","25","72",".","76"
"06/06/1980","53","CO","","41-051-1002","AQS","53","31","30",".","51"
"06/07/1980","91","SO2","","41-051-0074","AQS","54","29","91",".","39"
"06/08/1980","51","SO2","","41-051-0074","AQS","33","25","51",".","42"
"06/09/1980","105","SO2","","41-051-0074","AQS","57","20","105",".","47"
"06/10/1980","52","NO2","","41-051-1002","AQS","43","26","17",".","52"
"06/11/1980","77","SO2","","41-051-0074","AQS","49","24","77",".","45"
"06/12/1980","73","CO","","41-051-1002","AQS","73","11","10",".","44"
"06/13/1980","95","CO","","41-051-1002","AQS","95","21","9",".","."
"06/14/1980","62","CO","","41-051-1002","AQS","62","19","36",".","."
"06/15/1980","87","SO2","","41-051-0074","AQS","32","31","87",".","."
"06/16/1980","70","CO","","41-051-0075","AQS","70","20","34",".","."
"06/17/1980","112","SO2","","41-051-0074","AQS","54","39","112",".","."
"06/18/1980","118","SO2","","41-051-0074","AQS","39","39","118",".","."
"06/19/1980","74","SO2","","41-051-0074","AQS","42","42","74",".","."
"06/20/1980","72","SO2","","41-051-0074","AQS","63","34","72",".","."
"06/21/1980","106","SO2","","41-051-0074","AQS","38","33","106",".","."
"06/22/1980","33","SO2","","41-051-0074","AQS","25","25","33",".","."
"06/23/1980","50","CO","","41-051-1002","AQS","50","24","6",".","."
"06/24/1980","26","CO","","41-051-0079","AQS","26","16","24",".","."
"06/25/1980","60","CO","","41-051-1002","AQS","60","27","20",".","."
"06/26/1980","49","CO","","41-051-1002","AQS","49","31","31",".","."
"06/27/1980","103","SO2","","41-051-0074","AQS","45","19","103",".","40"
"06/28/1980","118","SO2","","41-051-0074","AQS","34","25","118",".","18"
"06/29/1980","121","SO2","","41-051-0074","AQS","19","23","121",".","19"
"06/30/1980","115","SO2","","41-051-0074","AQS","45","39","115",".","28"
"07/01/1980","106","SO2","","41-051-0074","AQS","41","64","106",".","82"
"07/02/1980","53","CO","","41-051-1002","AQS","53","33","20",".","46"
"07/03/1980","85","CO","","41-051-1002","AQS","85","27","6",".","45"
"07/04/1980","96","SO2","","41-051-0074","AQS","38","23","96",".","26"
"07/05/1980","69","SO2","","41-051-0074","AQS","23","30","69",".","26"
"07/06/1980","121","SO2","","41-051-0074","AQS","13","37","121",".","23"
"07/07/1980","109","SO2","","41-051-0074","AQS","49","93","109",".","37"
"07/08/1980","100","SO2","","41-051-0074","AQS","51","58","100",".","83"
"07/09/1980","86","SO2","","41-051-0074","AQS","56","19","86",".","34"
"07/10/1980","82","SO2","","41-051-0074","AQS","53","37","82",".","55"
"07/11/1980","103","SO2","","41-051-0074","AQS","56","26","103",".","57"
"07/12/1980","86","SO2","","41-051-0074","AQS","30","33","86",".","27"
"07/13/1980","108","SO2","","41-051-0074","AQS","32","36","108",".","31"
"07/14/1980","67","SO2","","41-051-0074","AQS","59","18","67",".","31"
"07/15/1980","103","SO2","","41-051-0074","AQS","38","44","103",".","35"
"07/16/1980","80","SO2","","41-051-0074","AQS","36","26","80",".","23"
"07/17/1980","110","SO2","","41-051-0074","AQS","39","34","110",".","26"
"07/18/1980","86","SO2","","41-051-0074","AQS","42","32","86",".","27"
"07/19/1980","105","SO2","","41-051-0074","AQS","28","28","105",".","30"
"07/20/1980","111","SO2","","41-051-0074","AQS","20","38","111",".","15"
"07/21/1980","100","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","77","100","87",".","58"
"07/22/1980","102","SO2","","41-051-0074","AQS","38","34","102",".","42"
"07/23/1980","200","SO2","","41-051-0074","AQS","36","24","200",".","19"
"07/24/1980","111","SO2","","41-051-0074","AQS","40","43","111",".","35"
"07/25/1980","100","SO2","","41-051-0074","AQS","47","39","100",".","24"
"07/26/1980","51","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","26","51","46",".","25"
"07/27/1980","107","SO2","","41-051-0074","AQS","16","47","107",".","17"
"07/28/1980","105","SO2","","41-051-0074","AQS","47","40","105",".","23"
"07/29/1980","100","SO2","","41-051-0074","AQS","40","41","100",".","25"
"07/30/1980","80","SO2","","41-051-0074","AQS","45","80","80",".","30"
"07/31/1980","106","SO2","","41-051-0074","AQS","47","77","106",".","33"
"08/01/1980","74","CO","","41-051-0079","AQS","74","31","62",".","37"
"08/02/1980","70","SO2","","41-051-0074","AQS","54","17","70",".","15"
"08/03/1980","104","SO2","","41-051-0074","AQS","22","30","104",".","17"
"08/04/1980","90","SO2","","41-051-0074","AQS","53","37","90",".","25"
"08/05/1980","50","SO2","","41-051-0074","AQS","42","22","50",".","23"
"08/06/1980","52","SO2","","41-051-0074","AQS","49","34","52",".","25"
"08/07/1980","110","SO2","","41-051-0074","AQS","51","54","110",".","37"
"08/08/1980","52","CO","","41-051-0079","AQS","52","51","31",".","50"
"08/09/1980","47","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","43","47","43",".","41"
"08/10/1980","84","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","30","84","80",".","73"
"08/11/1980","91","SO2","","41-051-0074","AQS","55","46","91",".","67"
"08/12/1980","57","SO2","","41-051-0074","AQS","39","34","57",".","37"
"08/13/1980","67","SO2","","41-051-0074","AQS","48","19","67",".","20"
"08/14/1980","105","SO2","","41-051-0074","AQS","44","30","105",".","28"
"08/15/1980","70","SO2","","41-051-0074","AQS","55","23","70",".","28"
"08/16/1980","82","SO2","","41-051-0074","AQS","42","24","82",".","21"
"08/17/1980","25","CO","","41-051-0078","AQS","25","21","16",".","24"
"08/18/1980","47","CO","","41-051-0075","AQS","47","26","29",".","38"
"08/19/1980","102","SO2","","41-051-0074","AQS","47","33","102",".","49"
"08/20/1980","46","NO2","","41-051-1002","AQS","38","34","44",".","46"
"08/21/1980","119","SO2","","41-051-0074","AQS","53","34","119",".","29"
"08/22/1980","108","SO2","","41-051-0074","AQS","59","31","108",".","28"
"08/23/1980","99","SO2","","41-051-0074","AQS","45","38","99",".","38"
"08/24/1980","62","SO2","","41-051-0074","AQS","27","30","62",".","23"
"08/25/1980","102","SO2","","41-051-0074","AQS","60","40","102",".","31"
"08/26/1980","50","CO","","41-051-1002","AQS","50","30","36",".","46"
"08/27/1980","47","CO","","41-051-0078","AQS","47","20","46",".","."
"08/28/1980","55","SO2","","41-051-0074","AQS","52","30","55",".","."
"08/29/1980","63","CO","","41-051-0075","AQS","63","43","51",".","."
"08/30/1980","56","CO","","41-051-0075","AQS","56","26","27",".","37"
"08/31/1980","100","SO2","","41-051-0074","AQS","33","27","100",".","28"
"09/01/1980","56","SO2","","41-051-0074","AQS","24","18","56",".","19"
"09/02/1980","103","SO2","","41-051-0074","AQS","54","28","103",".","27"
"09/03/1980","74","SO2","","41-051-0074","AQS","63","31","74",".","37"
"09/04/1980","86","SO2","","41-051-0074","AQS","36","42","86",".","68"
"09/05/1980","161","CO","","41-051-0078","AQS","161","48","86",".","101"
"09/06/1980","80","CO","","41-051-0078","AQS","80","27","54",".","34"
"09/07/1980","114","SO2","","41-051-0074","AQS","54","29","114",".","19"
"09/08/1980","110","SO2","","41-051-0074","AQS","50","29","110",".","37"
"09/09/1980","109","SO2","","41-051-0074","AQS","79","42","109",".","46"
"09/10/1980","74","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","57","74","67",".","57"
"09/11/1980","62","NO2","","41-051-1002","AQS","52","31","36",".","62"
"09/12/1980","63","CO","","41-051-1002","AQS","63","35","43",".","42"
"09/13/1980","38","CO","","41-051-0078","AQS","38","21","17",".","29"
"09/14/1980","80","SO2","","41-051-0074","AQS","34","31","80",".","41"
"09/15/1980","70","CO","","41-051-0078","AQS","70","34","65",".","42"
"09/16/1980","88","NO2","","41-051-1002","AQS","81","51","71",".","88"
"09/17/1980","61","NO2","","41-051-1002","AQS","59","44","59",".","61"
"09/18/1980","82","CO","","41-051-1002","AQS","82","22","17",".","42"
"09/19/1980","61","CO","","41-051-1002","AQS","61","19","9",".","31"
"09/20/1980","54","CO","","41-051-0075","AQS","54","20","19",".","31"
"09/21/1980","51","CO","","41-051-0075","AQS","51","25","27",".","30"
"09/22/1980","60","SO2","","41-051-0074","AQS","60","22","60",".","29"
"09/23/1980","107","SO2","","41-051-0074","AQS","47","15","107",".","25"
"09/24/1980","117","SO2","","41-051-0074","AQS","53","21","117",".","29"
"09/25/1980","81","SO2","","41-051-0074","AQS","51","36","81",".","54"
"09/26/1980","86","SO2","","41-051-0074","AQS","81","47","86",".","."
"09/27/1980","49","CO","","41-051-1002","AQS","49","26","14",".","."
"09/28/1980","51","CO","","41-051-0075","AQS","51","27","20",".","."
"09/29/1980","80","SO2","","41-051-0074","AQS","73","31","80",".","."
"09/30/1980","52","CO","","41-051-0075","AQS","52","32","26",".","."
"10/01/1980","117","SO2","","41-051-0074","AQS","44","32","117",".","."
"10/02/1980","99","SO2","","41-051-0074","AQS","53","37","99",".","62"
"10/03/1980","83","CO","","41-051-1002","AQS","83","50","69",".","80"
"10/04/1980","94","CO","","41-051-0075","AQS","94","42","56",".","52"
"10/05/1980","138","CO","","41-051-0075","AQS","138","64","105",".","90"
"10/06/1980","74","CO","","41-051-0078","AQS","74","54","54",".","61"
"10/07/1980","65","CO","","41-051-0075","AQS","65","51","27",".","44"
"10/08/1980","48","CO","","41-051-0078","AQS","48","26","11",".","28"
"10/09/1980","43","CO","","41-051-0075","AQS","43","35","13",".","37"
"10/10/1980","70","CO","","41-051-1002","AQS","70","19","4",".","54"
"10/11/1980","56","SO2","","41-051-0074","AQS","52","16","56",".","43"
"10/12/1980","40","CO","","41-051-1002","AQS","40","27","6",".","34"
"10/13/1980","76","CO","","41-051-1002","AQS","76","25","36",".","42"
"10/14/1980","75","CO","","41-051-1002","AQS","75","12","44",".","50"
"10/15/1980","141","SO2","","41-051-0074","AQS","77","18","141",".","33"
"10/16/1980","100","SO2","","41-051-0074","AQS","97","20","100",".","69"
"10/17/1980","116","CO","","41-051-0075","AQS","116","28","70",".","86"
"10/18/1980","107","SO2","","41-051-0074","AQS","104","35","107",".","86"
"10/19/1980","83","CO","","41-051-0075","AQS","83","30","59",".","78"
"10/20/1980","104","SO2","","41-051-0074","AQS","67","19","104",".","43"
"10/21/1980","97","SO2","","41-051-0074","AQS","94","27","97",".","61"
"10/22/1980","65","CO","","41-051-0075","AQS","65","28","30",".","37"
"10/23/1980","45","CO","","41-051-0075","AQS","45","26","19",".","38"
"10/24/1980","106","CO","","41-051-1002","AQS","106","21","31",".","42"
"10/25/1980","87","CO","","41-051-1002","AQS","87","26","27",".","37"
"10/26/1980","57","CO","","41-051-0075","AQS","57","19","9",".","29"
"10/27/1980","68","CO","","41-051-0075","AQS","68","19","34",".","42"
"10/28/1980","60","SO2","","41-051-0074","AQS","57","18","60",".","39"
"10/29/1980","91","CO","","41-051-1002","AQS","91","14","62",".","57"
"10/30/1980","99","CO","","41-051-1002","AQS","99","10","56",".","43"
"10/31/1980","118","CO","","41-051-0078","AQS","118","14","39",".","34"
"11/01/1980","71","CO","","41-051-1002","AQS","71","25","14",".","34"
"11/02/1980","74","SO2","","41-051-0074","AQS","55","17","74",".","38"
"11/03/1980","145","CO","","41-051-1002","AQS","145","1","43",".","37"
"11/04/1980","118","CO","","41-051-1002","AQS","118","1","69",".","57"
"11/05/1980","91","CO","","41-051-1002","AQS","91","7","24",".","37"
"11/06/1980","120","CO","","41-051-1002","AQS","120","16","55",".","37"
"11/07/1980","72","CO","","41-051-1002","AQS","72","19","19",".","39"
"11/08/1980","68","CO","","41-051-1002","AQS","68","20","17",".","42"
"11/09/1980","56","CO","","41-051-1002","AQS","56","20","43",".","37"
"11/10/1980","94","CO","","41-051-0078","AQS","94","5","69",".","38"
"11/11/1980","85","CO","","41-051-1002","AQS","85","5","65",".","35"
"11/12/1980","96","CO","","41-051-0078","AQS","96","13","80",".","34"
"11/13/1980","54","CO","","41-051-1002","AQS","54","13","30",".","31"
"11/14/1980","96","CO","","41-051-1002","AQS","96","12","34",".","35"
"11/15/1980","54","CO","","41-051-1002","AQS","54","25","36",".","28"
"11/16/1980","33","CO","","41-051-0075","AQS","33","13","11",".","27"
"11/17/1980","94","CO","","41-051-1002","AQS","94","26","27",".","38"
"11/18/1980","98","CO","","41-051-0075","AQS","98","22","37",".","43"
"11/19/1980","95","CO","","41-051-0075","AQS","95","7","52",".","33"
"11/20/1980","98","CO","","41-051-1002","AQS","98","22","59",".","32"
"11/21/1980","82","CO","","41-051-0075","AQS","82","26","40",".","36"
"11/22/1980","131","CO","","41-051-0075","AQS","131","12","85",".","31"
"11/23/1980","54","CO","","41-051-0075","AQS","54","12","31",".","29"
"11/24/1980","79","CO","","41-051-0075","AQS","79","7","40",".","36"
"11/25/1980","74","CO","","41-051-0075","AQS","74","12","44",".","34"
"11/26/1980","79","CO","","41-051-1002","AQS","79","6","36",".","32"
"11/27/1980","61","CO","","41-051-1002","AQS","61","21","44",".","31"
"11/28/1980","81","SO2","","41-051-0074","AQS","80","17","81",".","31"
"11/29/1980","58","CO","","41-051-1002","AQS","58","19","29",".","38"
"11/30/1980","35","CO","","41-051-1002","AQS","35","27","11",".","31"
"12/01/1980","87","CO","","41-051-0075","AQS","87","21","27",".","37"
"12/02/1980","91","SO2","","41-051-0074","AQS","88","28","91",".","37"
"12/03/1980","92","CO","","41-051-1002","AQS","92","26","71",".","39"
"12/04/1980","67","CO","","41-051-1002","AQS","67","27","9",".","33"
"12/05/1980","69","CO","","41-051-1002","AQS","69","27","57",".","35"
"12/06/1980","141","SO2","","41-051-0074","AQS","53","22","141",".","27"
"12/07/1980","76","SO2","","41-051-0074","AQS","34","18","76",".","27"
"12/08/1980","77","CO","","41-051-0075","AQS","77","14","47",".","42"
"12/09/1980","90","CO","","41-051-0075","AQS","90","7","52",".","37"
"12/10/1980","93","CO","","41-051-0075","AQS","93","6","64",".","41"
"12/11/1980","105","SO2","","41-051-0074","AQS","97","13","105",".","87"
"12/12/1980","110","SO2","","41-051-0074","AQS","98","4","110",".","46"
"12/13/1980","92","CO","","41-051-0075","AQS","92","3","43",".","31"
"12/14/1980","91","CO","","41-051-0075","AQS","91","8","61",".","33"
"12/15/1980","208","CO","","41-051-0078","AQS","208","3","111",".","112"
"12/16/1980","165","CO","","53-011-0008","AQS","165","4","105",".","53"
"12/17/1980","82","CO","","41-051-0078","AQS","82","1","60",".","23"
"12/18/1980","75","CO","","41-051-0075","AQS","75","2","54",".","29"
"12/19/1980","79","CO","","41-051-0075","AQS","79","1","10",".","27"
"12/20/1980","82","CO","","41-051-0075","AQS","82","1","41",".","25"
"12/21/1980","51","CO","","41-051-0078","AQS","51","31","17",".","33"
"12/22/1980","85","CO","","41-051-1002","AQS","85","32","1",".","39"
"12/23/1980","93","CO","","41-051-0075","AQS","93","21","60",".","38"
"12/24/1980","109","CO","","41-051-1002","AQS","109","19","27",".","34"
"12/25/1980","33","CO","","41-051-1002","AQS","33","21","16",".","21"
"12/26/1980","97","CO","","41-051-1002","AQS","97","31","19",".","29"
"12/27/1980","83","CO","","41-051-1002","AQS","83","32","13",".","38"
"12/28/1980","105","SO2","","41-051-0074","AQS","95","15","105",".","51"
"12/29/1980","96","CO","","41-051-1002","AQS","96","4","43",".","42"
"12/30/1980","143","CO","","41-051-0078","AQS","143","8","108",".","83"
"12/31/1980","84","CO","","41-051-0078","AQS","84","7","56",".","21"
