"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"07/16/2001","21","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","13","21",".","20","10"
"07/17/2001","24","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","13","20",".","24","11"
"07/18/2001","29","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","11","18","14","29","19"
"07/19/2001","28","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","15","28",".","20","17"
"07/20/2001","40","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","15","17",".","40","17"
"07/21/2001","27","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","11","24",".","27","10"
"07/22/2001","26","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","11","24",".","26","8"
"07/23/2001","40","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","19","28",".","40","9"
"07/24/2001","25","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","15","21","12","25","8"
"07/25/2001","40","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","19","40",".","35","11"
"07/26/2001","32","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","20","32",".","31","12"
"07/27/2001","33","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","18","33",".","28","14"
"07/28/2001","26","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","16","26",".","16","12"
"07/29/2001","22","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","10","22",".","21","21"
"07/30/2001","32","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","16","28","15","32","17"
"07/31/2001","30","Ozone","VANCOUVER - BLAIRMONT DR","53-011-0011","AQS","14","30",".","28","23"
"08/01/2001","40","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","20","40",".","40","19"
"08/02/2001","30","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","15","30",".","23","16"
"08/03/2001","21","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","15","21",".","19","11"
"08/04/2001","30","Ozone","VANCOUVER - BLAIRMONT DR","53-011-0011","AQS","11","30",".","25","16"
"08/05/2001","31","Ozone","VANCOUVER - BLAIRMONT DR","53-011-0011","AQS","14","31","12","27","15"
"08/06/2001","27","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","20","27",".","25","18"
"08/07/2001","37","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","19","37",".","27","11"
"08/08/2001","57","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","25","44",".","57","17"
"08/09/2001","133","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","41","133",".","52","45"
"08/10/2001","119","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","26","119",".","60","25"
"08/11/2001","54","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","18","50","20","54","30"
"08/12/2001","112","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","17","112",".","59","22"
"08/13/2001","47","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","17","43",".","47","16"
"08/14/2001","50","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","18","34",".","50","34"
"08/15/2001","47","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","22","46",".","47","22"
"08/16/2001","40","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","20","24",".","40","29"
"08/17/2001","25","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","19","23","14","25","13"
"08/18/2001","27","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","15","27",".","18","10"
"08/19/2001","31","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","13","31",".","24","12"
"08/20/2001","32","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","15","32",".","28","17"
"08/21/2001","30","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","18","21",".","30","14"
"08/22/2001","19","CO","","53-011-0010","AQS","19","15",".","17","11"
"08/23/2001","29","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","14","23","14","29","16"
