"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"03/28/2009","33","Ozone","Portland - SE Lafayette","41-051-0080","AQS","8","33","1",".","26","12"
"03/29/2009","35","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","35","3","11","27","25"
"03/30/2009","48","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","9","29","4",".","48","24"
"03/31/2009","38","Ozone","Portland - SE Lafayette","41-051-0080","AQS","8","38","3",".","33","11"
"04/01/2009","53","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","10","32","3","12","53","9"
"04/02/2009","37","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","37","4",".","18","14"
"04/03/2009","45","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","8","39","3",".","45","32"
"04/04/2009","53","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","9","38","3","13","53","28"
"04/05/2009","36","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","36","1",".","27","24"
"04/06/2009","37","Ozone","Portland - SE Lafayette","41-051-0080","AQS","9","37","13",".","35","34"
"04/07/2009","41","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","9","37","6","36","41","30"
"04/08/2009","38","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","38","3",".","27","13"
"04/09/2009","36","Ozone","Portland - SE Lafayette","41-051-0080","AQS","8","36","3",".","16","14"
"04/10/2009","34","Ozone","Portland - SE Lafayette","41-051-0080","AQS","10","34","4","7","25","30"
"04/11/2009","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","8","31","1",".","21","8"
"04/12/2009","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","31","1",".","13","7"
"04/13/2009","38","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","38","3","6","13","9"
"04/14/2009","34","Ozone","Portland - SE Lafayette","41-051-0080","AQS","8","34","3",".","18","17"
"04/15/2009","35","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","10","29","4",".","35","25"
"04/16/2009","40","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","11","37","7","13","40","37"
"04/17/2009","29","Ozone","Portland - SE Lafayette","41-051-0080","AQS","10","29","3",".","23","24"
"04/18/2009","52","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","13","36","3",".","52","39"
"04/19/2009","49","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","18","39","4","14","49","25"
"04/20/2009","38","Ozone","Portland - SE Lafayette","41-051-0080","AQS","9","38","27",".","30","26"
"04/21/2009","37","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","37","6",".","33","22"
"04/22/2009","39","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","39","4","10","23","8"
"04/23/2009","33","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","33","3",".","30","17"
"04/24/2009","39","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","39","3",".","29","23"
"04/25/2009","38","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","38","3","10","33","20"
"04/26/2009","39","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","39","3",".","27","30"
"04/27/2009","41","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","9","30","3",".","41","24"
"04/28/2009","33","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","9","28","1",".","33","13"
"04/29/2009","33","Ozone","Portland - SE Lafayette","41-051-0080","AQS","8","33","3",".","20","27"
"04/30/2009","35","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","7","34","3",".","35","17"
"05/01/2009","41","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","6","41","1","40","23","9"
"05/02/2009","39","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","6","39","3",".","23","23"
"05/03/2009","42","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","7","42","1",".","32","23"
"05/04/2009","36","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","11","36","4",".","18","20"
"05/05/2009","39","Ozone","Sherwood  -  Lasich and Roy Rogers (SLR)","41-067-1004","AQS","5","39","1","8","16","8"
"05/06/2009","38","Ozone","Sherwood  -  Lasich and Roy Rogers (SLR)","41-067-1004","AQS","6","38","3","4","14","10"
"05/07/2009","36","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","6","36","1","9","14","9"
"05/08/2009","38","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","8","38","3",".","20","19"
"05/09/2009","41","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","6","41","3",".","23","10"
"05/10/2009","39","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","5","37","3","9","39","14"
"05/11/2009","35","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","3","35","3",".","14","5"
"05/12/2009","40","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","5","40","1",".","14","16"
"05/13/2009","29","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","9","24","3","12","29","21"
"05/14/2009","37","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","6","37","1",".","13","11"
"05/15/2009","44","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","9","44","3",".","29","35"
"05/16/2009","84","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","11","84","4","26","70","43"
"05/17/2009","49","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","13","49","4",".","27","26"
"05/18/2009","36","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","6","36","4",".","32","11"
"05/19/2009","35","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","7","35","1","8","18","16"
"05/20/2009","36","Ozone","Sherwood  -  Lasich and Roy Rogers (SLR)","41-067-1004","AQS","6","36","4",".","28","17"
"05/21/2009","38","Ozone","Sherwood  -  Lasich and Roy Rogers (SLR)","41-067-1004","AQS","7","38","3",".","26","10"
"05/22/2009","43","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","6","43","3","14","29","12"
"05/23/2009","43","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","6","43","1",".","41","8"
"05/24/2009","47","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","6","47","1",".","42","7"
"05/25/2009","51","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","5","51","1","11","31","14"
"05/26/2009","36","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","7","36","4",".","22","18"
