STATION,STATION_NAME,DATE,TMAX,TMIN,TOBS
GHCND:USC00090430,ATHENS GA US,18580214,54,31,-9999
GHCND:USC00090430,ATHENS GA US,18580215,62,28,-9999
GHCND:USC00090430,ATHENS GA US,18580216,65,31,-9999
GHCND:USC00090430,ATHENS GA US,18580217,67,38,-9999
GHCND:USC00090430,ATHENS GA US,18580218,55,36,-9999
GHCND:USC00090430,ATHENS GA US,18580219,66,39,-9999
GHCND:USC00090430,ATHENS GA US,18580220,49,31,-9999
GHCND:USC00090430,ATHENS GA US,18580221,65,28,-9999
GHCND:USC00090430,ATHENS GA US,18580222,58,52,-9999
GHCND:USC00090430,ATHENS GA US,18580223,37,33,-9999
GHCND:USC00090430,ATHENS GA US,18580224,47,26,-9999
GHCND:USC00090430,ATHENS GA US,18580225,56,27,-9999
GHCND:USC00090430,ATHENS GA US,18580226,49,33,-9999
GHCND:USC00090430,ATHENS GA US,18580227,64,32,-9999
GHCND:USC00090430,ATHENS GA US,18580228,67,40,-9999
GHCND:USC00090430,ATHENS GA US,18580301,42,36,-9999
GHCND:USC00090430,ATHENS GA US,18580302,34,17,-9999
GHCND:USC00090430,ATHENS GA US,18580303,40,16,-9999
GHCND:USC00090430,ATHENS GA US,18580304,47,16,-9999
GHCND:USC00090430,ATHENS GA US,18580305,56,28,-9999
GHCND:USC00090430,ATHENS GA US,18580306,60,30,-9999
GHCND:USC00090430,ATHENS GA US,18580307,50,47,-9999
GHCND:USC00090430,ATHENS GA US,18580308,44,37,-9999
GHCND:USC00090430,ATHENS GA US,18580309,44,24,-9999
GHCND:USC00090430,ATHENS GA US,18580310,62,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18580311,72,41,-9999
GHCND:USC00090430,ATHENS GA US,18580312,64,51,-9999
GHCND:USC00090430,ATHENS GA US,18580313,61,39,-9999
GHCND:USC00090430,ATHENS GA US,18580314,69,36,-9999
GHCND:USC00090430,ATHENS GA US,18580315,72,42,-9999
GHCND:USC00090430,ATHENS GA US,18580316,74,52,-9999
GHCND:USC00090430,ATHENS GA US,18580317,73,52,-9999
GHCND:USC00090430,ATHENS GA US,18580318,76,57,-9999
GHCND:USC00090430,ATHENS GA US,18580319,80,50,-9999
GHCND:USC00090430,ATHENS GA US,18580320,64,53,-9999
GHCND:USC00090430,ATHENS GA US,18580321,77,53,-9999
GHCND:USC00090430,ATHENS GA US,18580322,60,45,-9999
GHCND:USC00090430,ATHENS GA US,18580323,66,48,-9999
GHCND:USC00090430,ATHENS GA US,18580324,64,41,-9999
GHCND:USC00090430,ATHENS GA US,18580325,72,41,-9999
GHCND:USC00090430,ATHENS GA US,18580326,74,42,-9999
GHCND:USC00090430,ATHENS GA US,18580327,79,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18580328,80,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18580329,66,40,-9999
GHCND:USC00090430,ATHENS GA US,18580330,54,49,-9999
GHCND:USC00090430,ATHENS GA US,18580501,82,51,-9999
GHCND:USC00090430,ATHENS GA US,18580502,80,52,-9999
GHCND:USC00090430,ATHENS GA US,18580503,85,61,-9999
GHCND:USC00090430,ATHENS GA US,18580504,73,60,-9999
GHCND:USC00090430,ATHENS GA US,18580505,74,50,-9999
GHCND:USC00090430,ATHENS GA US,18580506,71,50,-9999
GHCND:USC00090430,ATHENS GA US,18580507,80,51,-9999
GHCND:USC00090430,ATHENS GA US,18580509,85,56,-9999
GHCND:USC00090430,ATHENS GA US,18580510,77,63,-9999
GHCND:USC00090430,ATHENS GA US,18580511,66,57,-9999
GHCND:USC00090430,ATHENS GA US,18580512,73,49,-9999
GHCND:USC00090430,ATHENS GA US,18580513,78,46,-9999
GHCND:USC00090430,ATHENS GA US,18580514,85,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18580515,89,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18580516,90,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18580517,89,63,-9999
GHCND:USC00090430,ATHENS GA US,18580518,85,65,-9999
GHCND:USC00090430,ATHENS GA US,18580519,83,63,-9999
GHCND:USC00090430,ATHENS GA US,18580520,83,54,-9999
GHCND:USC00090430,ATHENS GA US,18580521,83,49,-9999
GHCND:USC00090430,ATHENS GA US,18580522,79,54,-9999
GHCND:USC00090430,ATHENS GA US,18580523,80,62,-9999
GHCND:USC00090430,ATHENS GA US,18580524,84,60,-9999
GHCND:USC00090430,ATHENS GA US,18580525,87,60,-9999
GHCND:USC00090430,ATHENS GA US,18580526,87,65,-9999
GHCND:USC00090430,ATHENS GA US,18580527,85,57,-9999
GHCND:USC00090430,ATHENS GA US,18580528,81,61,-9999
GHCND:USC00090430,ATHENS GA US,18580529,64,60,-9999
GHCND:USC00090430,ATHENS GA US,18580530,76,58,-9999
GHCND:USC00090430,ATHENS GA US,18580531,85,66,-9999
GHCND:USC00090430,ATHENS GA US,18580601,88,64,-9999
GHCND:USC00090430,ATHENS GA US,18580602,84,62,-9999
GHCND:USC00090430,ATHENS GA US,18580603,86,66,-9999
GHCND:USC00090430,ATHENS GA US,18580604,89,68,-9999
GHCND:USC00090430,ATHENS GA US,18580605,85,67,-9999
GHCND:USC00090430,ATHENS GA US,18580606,82,67,-9999
GHCND:USC00090430,ATHENS GA US,18580607,86,67,-9999
GHCND:USC00090430,ATHENS GA US,18580608,85,65,-9999
GHCND:USC00090430,ATHENS GA US,18580609,85,64,-9999
GHCND:USC00090430,ATHENS GA US,18580610,85,66,-9999
GHCND:USC00090430,ATHENS GA US,18580611,84,68,-9999
GHCND:USC00090430,ATHENS GA US,18580612,84,67,-9999
GHCND:USC00090430,ATHENS GA US,18580613,78,65,-9999
GHCND:USC00090430,ATHENS GA US,18580614,77,51,-9999
GHCND:USC00090430,ATHENS GA US,18580615,-9999,57,-9999
GHCND:USC00090430,ATHENS GA US,18580616,82,55,-9999
GHCND:USC00090430,ATHENS GA US,18580617,80,58,-9999
GHCND:USC00090430,ATHENS GA US,18580618,81,63,-9999
GHCND:USC00090430,ATHENS GA US,18580619,80,62,-9999
GHCND:USC00090430,ATHENS GA US,18580620,84,63,-9999
GHCND:USC00090430,ATHENS GA US,18580621,85,62,-9999
GHCND:USC00090430,ATHENS GA US,18580622,87,63,-9999
GHCND:USC00090430,ATHENS GA US,18580623,91,66,-9999
GHCND:USC00090430,ATHENS GA US,18580624,90,67,-9999
GHCND:USC00090430,ATHENS GA US,18580625,91,67,-9999
GHCND:USC00090430,ATHENS GA US,18580626,87,69,-9999
GHCND:USC00090430,ATHENS GA US,18580627,87,67,-9999
GHCND:USC00090430,ATHENS GA US,18580628,89,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18580629,87,70,-9999
GHCND:USC00090430,ATHENS GA US,18580630,88,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18580701,87,68,-9999
GHCND:USC00090430,ATHENS GA US,18580702,86,67,-9999
GHCND:USC00090430,ATHENS GA US,18580703,89,70,-9999
GHCND:USC00090430,ATHENS GA US,18580704,92,70,-9999
GHCND:USC00090430,ATHENS GA US,18580705,87,70,-9999
GHCND:USC00090430,ATHENS GA US,18580706,81,69,-9999
GHCND:USC00090430,ATHENS GA US,18580707,81,63,-9999
GHCND:USC00090430,ATHENS GA US,18580708,78,63,-9999
GHCND:USC00090430,ATHENS GA US,18580709,85,60,-9999
GHCND:USC00090430,ATHENS GA US,18580710,85,70,-9999
GHCND:USC00090430,ATHENS GA US,18580711,80,70,-9999
GHCND:USC00090430,ATHENS GA US,18580712,80,-9999,-9999
