STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN
USC00203858,"HOLLAND, MI US",10/30/1905,4.8,0,3.3,-2.8
USC00203858,"HOLLAND, MI US",10/31/1905,4.8,0,7.2,2.2
USC00203858,"HOLLAND, MI US",11/1/1905,0,0,0,-2.8
USC00203858,"HOLLAND, MI US",11/2/1905,1,0,2.8,-5
USC00203858,"HOLLAND, MI US",11/3/1905,1.3,0,5,0.6
USC00203858,"HOLLAND, MI US",11/4/1905,0,0,3.3,1.7
USC00203858,"HOLLAND, MI US",11/5/1905,17.8,0,5.6,0.6
USC00203858,"HOLLAND, MI US",11/6/1905,6.6,0,5.6,3.3
USC00203858,"HOLLAND, MI US",11/7/1905,7.6,0,3.3,0
USC00203858,"HOLLAND, MI US",11/8/1905,1,0,1.7,0
USC00203858,"HOLLAND, MI US",11/9/1905,1.8,38,1.1,-2.2
USC00203858,"HOLLAND, MI US",11/10/1905,0,0,5.6,-4.4
USC00203858,"HOLLAND, MI US",11/11/1905,0,0,10,5
USC00203858,"HOLLAND, MI US",11/12/1905,0,0,10,6.7
USC00203858,"HOLLAND, MI US",11/13/1905,0,0,6.7,-3.9
USC00203858,"HOLLAND, MI US",11/14/1905,0,0,-1.1,-8.9
USC00203858,"HOLLAND, MI US",11/15/1905,0,0,5,-1.1
USC00203858,"HOLLAND, MI US",11/16/1905,1.8,0,2.8,1.7
USC00203858,"HOLLAND, MI US",11/17/1905,0,0,4.4,1.1
USC00203858,"HOLLAND, MI US",11/18/1905,0,0,1.1,-4.4
USC00203858,"HOLLAND, MI US",11/19/1905,0,0,-0.6,-4.4
USC00203858,"HOLLAND, MI US",11/20/1905,0,0,-2.2,-3.3
USC00203858,"HOLLAND, MI US",11/21/1905,0,0,0.6,-7.2
USC00203858,"HOLLAND, MI US",11/22/1905,0,0,5.6,-3.3
USC00203858,"HOLLAND, MI US",11/23/1905,0,0,9.4,1.7
USC00203858,"HOLLAND, MI US",11/24/1905,6.1,0,5.6,3.9
USC00203858,"HOLLAND, MI US",11/25/1905,0,0,6.1,0
USC00203858,"HOLLAND, MI US",11/26/1905,0,0,4.4,2.2
USC00203858,"HOLLAND, MI US",11/27/1905,0,0,2.2,-2.8
USC00203858,"HOLLAND, MI US",11/28/1905,19.6,0,12.8,1.7
USC00203858,"HOLLAND, MI US",11/29/1905,0,0,1.7,-6.1
USC00203858,"HOLLAND, MI US",11/30/1905,2.5,25,-6.1,-10.6
USC00203858,"HOLLAND, MI US",12/1/1905,0,0,-1.1,-12.2
USC00203858,"HOLLAND, MI US",12/2/1905,3.3,25,-0.6,-2.2
