STATION,STATION_NAME,DATE,PRCP
GHCND:USC00444128,HOT SPRINGS VA US,18960605,0
GHCND:USC00444128,HOT SPRINGS VA US,18960606,12.2
GHCND:USC00444128,HOT SPRINGS VA US,18960607,0.8
GHCND:USC00444128,HOT SPRINGS VA US,18960608,3.3
GHCND:USC00444128,HOT SPRINGS VA US,18960609,6.9
GHCND:USC00444128,HOT SPRINGS VA US,18960613,9.1
GHCND:USC00444128,HOT SPRINGS VA US,18960614,0
GHCND:USC00444128,HOT SPRINGS VA US,18960616,16.8
GHCND:USC00444128,HOT SPRINGS VA US,18960617,3
GHCND:USC00444128,HOT SPRINGS VA US,18960618,1.8
GHCND:USC00444128,HOT SPRINGS VA US,18960619,1.3
GHCND:USC00444128,HOT SPRINGS VA US,18960621,2.5
GHCND:USC00444128,HOT SPRINGS VA US,18960624,8.9
GHCND:USC00444128,HOT SPRINGS VA US,18960625,13.2
GHCND:USC00444128,HOT SPRINGS VA US,18960626,3.8
GHCND:USC00444128,HOT SPRINGS VA US,18960627,1.3
GHCND:USC00444128,HOT SPRINGS VA US,18960628,2.5
GHCND:USC00444128,HOT SPRINGS VA US,18960701,0
GHCND:USC00444128,HOT SPRINGS VA US,18960702,0
GHCND:USC00444128,HOT SPRINGS VA US,18960703,5.8
GHCND:USC00444128,HOT SPRINGS VA US,18960704,0
GHCND:USC00444128,HOT SPRINGS VA US,18960705,10.7
GHCND:USC00444128,HOT SPRINGS VA US,18960706,0
GHCND:USC00444128,HOT SPRINGS VA US,18960707,0
GHCND:USC00444128,HOT SPRINGS VA US,18960708,51.6
GHCND:USC00444128,HOT SPRINGS VA US,18960709,0
GHCND:USC00444128,HOT SPRINGS VA US,18960710,0
GHCND:USC00444128,HOT SPRINGS VA US,18960711,0
GHCND:USC00444128,HOT SPRINGS VA US,18960712,10.9
GHCND:USC00444128,HOT SPRINGS VA US,18960713,0
GHCND:USC00444128,HOT SPRINGS VA US,18960714,0
GHCND:USC00444128,HOT SPRINGS VA US,18960715,0.8
GHCND:USC00444128,HOT SPRINGS VA US,18960716,8.6
GHCND:USC00444128,HOT SPRINGS VA US,18960717,0
GHCND:USC00444128,HOT SPRINGS VA US,18960718,0
GHCND:USC00444128,HOT SPRINGS VA US,18960719,0
