Sample Name,Park,Replicate,Analyte,Mass,Concentration
21,G,4,Tb,159,0
21,G,4,Lu,175,0
21,G,4,Pb,206,0.02
21,G,4,Pb,207,0.017
21,G,4,Pb,208,0.041
21,G,4,Bi,209,0
22,R,4,Li,6,0
22,R,4,Sc,45,0
22,R,4,Cr,52,0.022
22,R,4,Ge,72,0
22,R,4,As,75,-70.029
22,R,4,Se,78,0
22,R,4,Rh,103,0
22,R,4,Ag,107,0.001
22,R,4,In,115,0
22,R,4,Ba,137,0.23
22,R,4,Tb,159,0
22,R,4,Lu,175,0
22,R,4,Pb,206,0.009
22,R,4,Pb,207,0.008
22,R,4,Pb,208,0.018
22,R,4,Bi,209,0
23,Blank,NA,Li,6,0
23,Blank,NA,Sc,45,0
23,Blank,NA,Cr,52,0
23,Blank,NA,Ge,72,0
23,Blank,NA,As,75,0.098
23,Blank,NA,Se,78,0
23,Blank,NA,Rh,103,0
23,Blank,NA,Ag,107,0
23,Blank,NA,In,115,0
23,Blank,NA,Ba,137,0.037
23,Blank,NA,Tb,159,0
23,Blank,NA,Lu,175,0
23,Blank,NA,Pb,206,0
23,Blank,NA,Pb,207,0
23,Blank,NA,Pb,208,0
23,Blank,NA,Bi,209,0
24,C,1,Li,6,0
24,C,1,Sc,45,0
24,C,1,Cr,52,0.021
24,C,1,Ge,72,0
24,C,1,As,75,-43.48
24,C,1,Se,78,0
24,C,1,Rh,103,0
24,C,1,Ag,107,0.001
24,C,1,In,115,0
24,C,1,Ba,137,0.266
24,C,1,Tb,159,0
24,C,1,Lu,175,0
24,C,1,Pb,206,0.009
24,C,1,Pb,207,0.007
24,C,1,Pb,208,0.017
24,C,1,Bi,209,0
25,R,4,Li,6,0
25,R,4,Sc,45,0
25,R,4,Cr,52,0.023
25,R,4,Ge,72,0
25,R,4,As,75,-72.002
25,R,4,Se,78,0
25,R,4,Rh,103,0
25,R,4,Ag,107,0.001
25,R,4,In,115,0
25,R,4,Ba,137,0.224
25,R,4,Tb,159,0
25,R,4,Lu,175,0
25,R,4,Pb,206,0.015
25,R,4,Pb,207,0.012
25,R,4,Pb,208,0.031
25,R,4,Bi,209,0
26,C,5,Li,6,0
26,C,5,Sc,45,0
26,C,5,Cr,52,0.024
26,C,5,Ge,72,0
26,C,5,As,75,-113.047
26,C,5,Se,78,0
26,C,5,Rh,103,0
26,C,5,Ag,107,0.011
26,C,5,In,115,0
26,C,5,Ba,137,0.281
26,C,5,Tb,159,0
26,C,5,Lu,175,0
26,C,5,Pb,206,0.008
26,C,5,Pb,207,0.006
26,C,5,Pb,208,0.014
26,C,5,Bi,209,0
27,C,4,Li,6,0
27,C,4,Sc,45,0
27,C,4,Cr,52,0.021
27,C,4,Ge,72,0
27,C,4,As,75,-40.747
27,C,4,Se,78,0
27,C,4,Rh,103,0
27,C,4,Ag,107,0.001
