Sample Name,Date and Time Acquired,Dilution Factor,Data File Name,Batch Name,Data Path,Operator,Instrument Name,Misc. Info or Comment,Sample Weihgt or Volume,Final Weight or Volume,Dilution Multiplier,Tune Step,Analyte,Element Full Name,Mass,ISTD Ref Mass,Concentration,Conc RSD,Min Conc,CPS Mean,CPS Rep1,CPS Rep2,CPS Rep3,Conc Rep1,Conc Rep2,Conc Rep3,CPS RSD,Units
Std 1/100,10/27/2017 12:28:35 PM,1,003CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Ge,germanium,72,,,,0.000,407383.01,426457.57,412633.31,383058.16,,,,5.4,
Std 1/100,10/27/2017 12:28:35 PM,1,003CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,As,arsenic,75,72,,,0.000,20435.16,20224.84,20174.84,20905.81,,,,2.0,ppm
Std 1/100,10/27/2017 12:28:35 PM,1,003CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Se,selenium,78,72,0.083,10.2,0.000,13963.78,13726.84,14047.24,14117.26,0.075,0.082,0.092,1.5,ppm
Std 1/100,10/27/2017 12:28:35 PM,1,003CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Rh,rhodium,103,,,,0.000,1816892.58,1984237.31,1693149.82,1773290.60,,,,8.3,
Std 1/100,10/27/2017 12:28:35 PM,1,003CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Ag,silver,107,103,0.116,8.4,0.000,143639.21,142255.15,140698.53,147963.95,0.105,0.121,0.122,2.7,ppm
Std 1/100,10/27/2017 12:28:35 PM,1,003CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,In,indium,115,,,,0.000,2657496.78,2863434.02,2453495.12,2655561.21,,,,7.7,
Std 1/100,10/27/2017 12:28:35 PM,1,003CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Ba,barium,137,115,0.347,9.2,0.000,261729.09,253770.07,255244.84,276172.36,0.311,0.366,0.366,4.8,ppm
Std 1/100,10/27/2017 12:28:35 PM,1,003CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Tb,terbium,159,,,,0.000,2817175.84,3028729.95,2841472.15,2581325.43,,,,8.0,
Std 1/100,10/27/2017 12:28:35 PM,1,003CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Lu,lutetium,175,,,,0.000,3491306.61,3734244.94,3504027.45,3235647.45,,,,7.1,
Std 1/100,10/27/2017 12:28:35 PM,1,003CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Pb,lead,208,209,0.084,11.7,0.000,207981.90,199012.87,208180.50,216752.34,0.074,0.086,0.093,4.3,ppm
