State,Station_ID,Startyear,Endyear,gif_private,png_private,Map.png,GSOM_1975.png,GSOM_1975_anomaly.png,Records.png,panel4.png,GSOM_dnorm.png,KISS.png,GSOM_estPDF.png,panel4.gif,GSOM_dnorm.gif
Maine,"GARDINER, ME US (ID:GHCND:USC00173046)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Maine_USC00173046_MAP.png,Maine_USC00173046_GSOM_1975.png,Maine_USC00173046_GSOM_anomaly_1975.png,Maine_USC00173046_CHCND_Temp_Records.png,Maine_USC00173046_4panel.png,Maine_USC00173046_GSOM_dnorm.png,Maine_USC00173046_KISS.png,Maine_USC00173046_GSOM_estPDF.png,Maine_USC00173046_4panel.gif,Maine_USC00173046_GSOM_dnorm.gif
Maryland,"OAKLAND 1 SE, MD US (ID:GHCND:USC00186620)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Maryland_USC00186620_MAP.png,Maryland_USC00186620_GSOM_1975.png,Maryland_USC00186620_GSOM_anomaly_1975.png,Maryland_USC00186620_CHCND_Temp_Records.png,Maryland_USC00186620_4panel.png,Maryland_USC00186620_GSOM_dnorm.png,Maryland_USC00186620_KISS.png,Maryland_USC00186620_GSOM_estPDF.png,Maryland_USC00186620_4panel.gif,Maryland_USC00186620_GSOM_dnorm.gif
Massachusetts,"BLUE HILL COOP, MA US (ID:GHCND:USC00190736)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Massachusetts_USC00190736_MAP.png,Massachusetts_USC00190736_GSOM_1975.png,Massachusetts_USC00190736_GSOM_anomaly_1975.png,Massachusetts_USC00190736_CHCND_Temp_Records.png,Massachusetts_USC00190736_4panel.png,Massachusetts_USC00190736_GSOM_dnorm.png,Massachusetts_USC00190736_KISS.png,Massachusetts_USC00190736_GSOM_estPDF.png,Massachusetts_USC00190736_4panel.gif,Massachusetts_USC00190736_GSOM_dnorm.gif
Michigan,"ALMA, MI US (ID:GHCND:USC00200146)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Michigan_USC00200146_MAP.png,Michigan_USC00200146_GSOM_1975.png,Michigan_USC00200146_GSOM_anomaly_1975.png,Michigan_USC00200146_CHCND_Temp_Records.png,Michigan_USC00200146_4panel.png,Michigan_USC00200146_GSOM_dnorm.png,Michigan_USC00200146_KISS.png,Michigan_USC00200146_GSOM_estPDF.png,Michigan_USC00200146_4panel.gif,Michigan_USC00200146_GSOM_dnorm.gif
Minnesota,"MORRIS WEST CENTRAL RESEARCH AND OUTREACH CENTER, MN US (ID:GHCND:USC00215638)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Minnesota_USC00215638_MAP.png,Minnesota_USC00215638_GSOM_1975.png,Minnesota_USC00215638_GSOM_anomaly_1975.png,Minnesota_USC00215638_CHCND_Temp_Records.png,Minnesota_USC00215638_4panel.png,Minnesota_USC00215638_GSOM_dnorm.png,Minnesota_USC00215638_KISS.png,Minnesota_USC00215638_GSOM_estPDF.png,Minnesota_USC00215638_4panel.gif,Minnesota_USC00215638_GSOM_dnorm.gif
Mississippi,"HATTIESBURG, MS US (ID:GHCND:USC00223887)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/docs/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Mississippi_USC00223887_MAP.png,Mississippi_USC00223887_GSOM_1975.png,Mississippi_USC00223887_GSOM_anomaly_1975.png,Mississippi_USC00223887_CHCND_Temp_Records.png,Mississippi_USC00223887_4panel.png,Mississippi_USC00223887_GSOM_dnorm.png,Mississippi_USC00223887_KISS.png,Mississippi_USC00223887_GSOM_estPDF.png,Mississippi_USC00223887_4panel.gif,Mississippi_USC00223887_GSOM_dnorm.gif
Missouri,"CONCEPTION, MO US (ID:GHCND:USC00231822)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/docs/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Missouri_USC00231822_MAP.png,Missouri_USC00231822_GSOM_1975.png,Missouri_USC00231822_GSOM_anomaly_1975.png,Missouri_USC00231822_CHCND_Temp_Records.png,Missouri_USC00231822_4panel.png,Missouri_USC00231822_GSOM_dnorm.png,Missouri_USC00231822_KISS.png,Missouri_USC00231822_GSOM_estPDF.png,Missouri_USC00231822_4panel.gif,Missouri_USC00231822_GSOM_dnorm.gif
Montana,"BOZEMAN MONTANA STATE UNIVERSITY, MT US (ID:GHCND:USC00241044)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/docs/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Montana_USC00241044_MAP.png,Montana_USC00241044_GSOM_1975.png,Montana_USC00241044_GSOM_anomaly_1975.png,Montana_USC00241044_CHCND_Temp_Records.png,Montana_USC00241044_4panel.png,Montana_USC00241044_GSOM_dnorm.png,Montana_USC00241044_KISS.png,Montana_USC00241044_GSOM_estPDF.png,Montana_USC00241044_4panel.gif,Montana_USC00241044_GSOM_dnorm.gif
Nebraska,"DAVID CITY 4 E, NE US (ID:GHCND:USC00252205)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/docs/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Nebraska_USC00252205_MAP.png,Nebraska_USC00252205_GSOM_1975.png,Nebraska_USC00252205_GSOM_anomaly_1975.png,Nebraska_USC00252205_CHCND_Temp_Records.png,Nebraska_USC00252205_4panel.png,Nebraska_USC00252205_GSOM_dnorm.png,Nebraska_USC00252205_KISS.png,Nebraska_USC00252205_GSOM_estPDF.png,Nebraska_USC00252205_4panel.gif,Nebraska_USC00252205_GSOM_dnorm.gif
Nevada,"WINNEMUCCA AIRPORT, NV US (ID:GHCND:USW00024128)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/docs/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Nevada_USW00024128_MAP.png,Nevada_USW00024128_GSOM_1975.png,Nevada_USW00024128_GSOM_anomaly_1975.png,Nevada_USW00024128_CHCND_Temp_Records.png,Nevada_USW00024128_4panel.png,Nevada_USW00024128_GSOM_dnorm.png,Nevada_USW00024128_KISS.png,Nevada_USW00024128_GSOM_estPDF.png,Nevada_USW00024128_4panel.gif,Nevada_USW00024128_GSOM_dnorm.gif
New Hampshire,"HANOVER, NH US (ID:GHCND:USC00273850)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/docs/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,New Hampshire_USC00273850_MAP.png,New Hampshire_USC00273850_GSOM_1975.png,New Hampshire_USC00273850_GSOM_anomaly_1975.png,New Hampshire_USC00273850_CHCND_Temp_Records.png,New Hampshire_USC00273850_4panel.png,New Hampshire_USC00273850_GSOM_dnorm.png,New Hampshire_USC00273850_KISS.png,New Hampshire_USC00273850_GSOM_estPDF.png,New Hampshire_USC00273850_4panel.gif,New Hampshire_USC00273850_GSOM_dnorm.gif
New Jersey,"ATLANTIC CITY MARINA, NJ US (ID:GHCND:USW00013724)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/docs/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,New Jersey_USW00013724_MAP.png,New Jersey_USW00013724_GSOM_1975.png,New Jersey_USW00013724_GSOM_anomaly_1975.png,New Jersey_USW00013724_CHCND_Temp_Records.png,New Jersey_USW00013724_4panel.png,New Jersey_USW00013724_GSOM_dnorm.png,New Jersey_USW00013724_KISS.png,New Jersey_USW00013724_GSOM_estPDF.png,New Jersey_USW00013724_4panel.gif,New Jersey_USW00013724_GSOM_dnorm.gif
New Mexico,"CIMARRON 4 SW, NM US (ID:GHCND:USC00291813)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/docs/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,New Mexico_USC00291813_MAP.png,New Mexico_USC00291813_GSOM_1975.png,New Mexico_USC00291813_GSOM_anomaly_1975.png,New Mexico_USC00291813_CHCND_Temp_Records.png,New Mexico_USC00291813_4panel.png,New Mexico_USC00291813_GSOM_dnorm.png,New Mexico_USC00291813_KISS.png,New Mexico_USC00291813_GSOM_estPDF.png,New Mexico_USC00291813_4panel.gif,New Mexico_USC00291813_GSOM_dnorm.gif
New York,"NY CITY CENTRAL PARK, NY US (ID:GHCND:USW00094728)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/docs/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,New York_USW00094728_MAP.png,New York_USW00094728_GSOM_1975.png,New York_USW00094728_GSOM_anomaly_1975.png,New York_USW00094728_CHCND_Temp_Records.png,New York_USW00094728_4panel.png,New York_USW00094728_GSOM_dnorm.png,New York_USW00094728_KISS.png,New York_USW00094728_GSOM_estPDF.png,New York_USW00094728_4panel.gif,New York_USW00094728_GSOM_dnorm.gif
North Carolina,"ASHEVILLE, NC US (ID:GHCND:USW00013872)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/docs/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,North Carolina_USW00013872_MAP.png,North Carolina_USW00013872_GSOM_1975.png,North Carolina_USW00013872_GSOM_anomaly_1975.png,North Carolina_USW00013872_CHCND_Temp_Records.png,North Carolina_USW00013872_4panel.png,North Carolina_USW00013872_GSOM_dnorm.png,North Carolina_USW00013872_KISS.png,North Carolina_USW00013872_GSOM_estPDF.png,North Carolina_USW00013872_4panel.gif,North Carolina_USW00013872_GSOM_dnorm.gif
North Dakota,"WILLOW CITY, ND US (ID:GHCND:USC00329445)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/docs/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,North Dakota_USC00329445_MAP.png,North Dakota_USC00329445_GSOM_1975.png,North Dakota_USC00329445_GSOM_anomaly_1975.png,North Dakota_USC00329445_CHCND_Temp_Records.png,North Dakota_USC00329445_4panel.png,North Dakota_USC00329445_GSOM_dnorm.png,North Dakota_USC00329445_KISS.png,North Dakota_USC00329445_GSOM_estPDF.png,North Dakota_USC00329445_4panel.gif,North Dakota_USC00329445_GSOM_dnorm.gif
Ohio,"WARREN 3 S, OH US (ID:GHCND:USC00338769)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/docs/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Ohio_USC00338769_MAP.png,Ohio_USC00338769_GSOM_1975.png,Ohio_USC00338769_GSOM_anomaly_1975.png,Ohio_USC00338769_CHCND_Temp_Records.png,Ohio_USC00338769_4panel.png,Ohio_USC00338769_GSOM_dnorm.png,Ohio_USC00338769_KISS.png,Ohio_USC00338769_GSOM_estPDF.png,Ohio_USC00338769_4panel.gif,Ohio_USC00338769_GSOM_dnorm.gif
Oklahoma,"STILLWATER 2 W, OK US (ID:GHCND:USC00348501)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/docs/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Oklahoma_USC00348501_MAP.png,Oklahoma_USC00348501_GSOM_1975.png,Oklahoma_USC00348501_GSOM_anomaly_1975.png,Oklahoma_USC00348501_CHCND_Temp_Records.png,Oklahoma_USC00348501_4panel.png,Oklahoma_USC00348501_GSOM_dnorm.png,Oklahoma_USC00348501_KISS.png,Oklahoma_USC00348501_GSOM_estPDF.png,Oklahoma_USC00348501_4panel.gif,Oklahoma_USC00348501_GSOM_dnorm.gif
