Stock,Site,Treatment,Pretreatment,Error,N,Delta,Error,N
Deadwood Site,OR,Mechanical+Fire,7.46,1.65,4,-2.68,1.7,4
Deadwood Site,MT,Control,14.85,5.35,3,-0.16,0.09,3
Deadwood Site,MT,Prescribed Fire,9.71,3.07,3,-2.39,2.48,3
Deadwood Site,MT,Mechanical,7.35,1.38,3,7.53,0.56,3
Deadwood Site,MT,Mechanical+Fire,6.77,0.31,3,2.3,0.5,3
Deadwood Site,AZ,Control,7.4,2.02,3,-5.89,1.35,3
Deadwood Site,AZ,Prescribed Fire,9.33,2.16,3,-3.25,2.25,3
Deadwood Site,AZ,Mechanical,9.13,1.49,3,3.1,1.5,3
Deadwood Site,AZ,Mechanical+Fire,6.48,1.21,3,-0.47,1.1,3
Deadwood Site,AL,Control,8.87,0.99,3,-2.07,0.48,3
Deadwood Site,AL,Prescribed Fire,9.09,0.1,3,3.54,1.94,3
Deadwood Site,AL,Mechanical,6.98,1.02,3,2.71,2.43,3
Deadwood Site,AL,Mechanical+Fire,7.47,0.09,3,0.33,0.94,3
Deadwood Site,OH,Control,17.84,1.77,3,-0.99,0.72,3
Deadwood Site,OH,Prescribed Fire,15.76,2.31,3,1.42,4.41,3
Deadwood Site,OH,Mechanical,19.34,2.41,3,9.6,2.88,3
Deadwood Site,OH,Mechanical+Fire,19.82,2.66,3,9.06,3.7,3
Deadwood Site,SC,Control,9.91,2.24,3,2.99,2.93,3
Deadwood Site,SC,Prescribed Fire,6.06,1.93,3,6.86,4.22,3
Deadwood Site,SC,Mechanical,10.81,1.8,3,6.8,1.41,3
Deadwood Site,SC,Mechanical+Fire,11.99,4.81,3,5.62,2.52,3
Deadwood Site,NC,Control,16.22,2.36,3,0.27,2.11,3
Deadwood Site,NC,Prescribed Fire,15.59,0.19,3,4.88,0.65,3
Deadwood Site,NC,Mechanical,13.97,2.59,3,1.92,0.68,3
Deadwood Site,NC,Mechanical+Fire,18.1,6.59,3,5.12,2.08,3
Deadwood Site,FL,Control,0.71,NA,1,13.71,NA,1
Deadwood Site,FL,Prescribed Fire,4.67,2.29,3,-0.47,0.84,3
Deadwood Site,FL,Mechanical,1.67,NA,1,0.65,NA,1
Deadwood Site,FL,Mechanical+Fire,1.09,0.78,2,0.33,0.14,2
Soil Stocks Site,Ca-N,Control,85.93,9.38,3,9.91,4.59,3
Soil Stocks Site,Ca-N,Prescribed Fire,76.62,12.61,3,-21.16,4.72,3
Soil Stocks Site,Ca-N,Mechanical,NA,NA,NA,NA,NA,NA
Soil Stocks Site,Ca-N,Mechanical+Fire,NA,NA,NA,NA,NA,NA
Soil Stocks Site,WA,Control,76.93,17.74,5,-6.61,43.86,3
Soil Stocks Site,WA,Prescribed Fire,123.33,10.05,2,12.03,31.87,2
Soil Stocks Site,WA,Mechanical,74.41,10.31,3,7.07,9.93,3
Soil Stocks Site,WA,Mechanical+Fire,113.71,31.19,2,-11.49,21.48,2
Soil Stocks Site,Ca-C,Control,117.15,6.76,3,15.63,3.92,3
Soil Stocks Site,Ca-C,Prescribed Fire,115.54,6.28,3,-5.29,2.35,3
Soil Stocks Site,Ca-C,Mechanical,115.47,5.82,3,13.53,3.59,3
Soil Stocks Site,Ca-C,Mechanical+Fire,118.19,9.44,3,-0.38,7.83,3
Soil Stocks Site,Ca-S,Control,78.89,8.21,3,NA,NA,NA
