"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"06/15/1999","35","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","22","22",".","35","30"
"06/16/1999","32","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","19","32",".","24","18"
"06/17/1999","34","Ozone","19912 NE 164TH ST HOCKINSON SCHOOL IN BRUSH PRAIRIE, WA","53-011-0009","AQS","16","34","28","33","20"
"06/18/1999","24","CO","HAZELDELL/7701 NE HIGHWAY 99","53-011-0016","AQS","24","23",".","20","17"
"06/19/1999","39","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","16","39",".","15","25"
"06/20/1999","30","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","16","29",".","30","23"
"06/21/1999","27","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","22","27",".","17","22"
"06/22/1999","32","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","16","32",".","24","31"
"06/23/1999","33","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","28","33","30","33","25"
"06/24/1999","27","Ozone","19912 NE 164TH ST HOCKINSON SCHOOL IN BRUSH PRAIRIE, WA","53-011-0009","AQS","20","27",".","18","18"
"06/25/1999","24","CO","HAZELDELL/7701 NE HIGHWAY 99","53-011-0016","AQS","24","22",".","15","22"
"06/26/1999","26","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","18","26",".","13","20"
"06/27/1999","28","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","16","28",".","18","22"
"06/28/1999","33","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","18","24",".","33","25"
"06/29/1999","38","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","25","38","31","34","23"
"06/30/1999","25","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","20","21",".","25","19"
"07/01/1999","30","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","20","30",".","13","18"
"07/02/1999","23","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","20","23",".","16","16"
"07/03/1999","31","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","20","26",".","31","15"
"07/04/1999","89","PM2.5","Beaverton - Highland Park","41-067-0111","AQS","22","26",".","89","13"
"07/05/1999","51","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","23","37","26","51","13"
"07/06/1999","29","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","16","26",".","29","17"
"07/07/1999","26","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","15","26",".","13","15"
"07/08/1999","42","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","30","37",".","42","20"
"07/09/1999","133","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","51","133",".","58","49"
"07/10/1999","126","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","38","126",".","54","34"
"07/11/1999","61","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","20","61","22","36","23"
"07/12/1999","44","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","23","44",".","31","14"
"07/13/1999","44","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","22","44","26","31","14"
"07/14/1999","27","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","19","27",".","18","20"
"07/15/1999","41","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","22","34",".","41","19"
"07/16/1999","23","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","16","23",".","18","16"
"07/17/1999","29","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","20","29","18","27","22"
"07/18/1999","41","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","19","34",".","41","18"
"07/19/1999","58","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","32","58",".","52","22"
"07/20/1999","53","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","23","45",".","53","28"
"07/21/1999","33","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","20","33",".","32","29"
"07/22/1999","41","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","26","31",".","41","17"
"07/23/1999","28","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","26","28","24","24","19"
"07/24/1999","21","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","19","21",".","13","8"
"07/25/1999","33","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","17","33",".","23","14"
"07/26/1999","55","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","30","47",".","55","21"
"07/27/1999","108","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","28","108",".","58","35"
"07/28/1999","105","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","30","105",".","54","26"
"07/29/1999","39","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","22","39","27","39","18"
"07/30/1999","40","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","24","34",".","40","16"
"07/31/1999","71","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","19","71",".","39","16"
"08/01/1999","44","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","18","44",".","36","20"
"08/02/1999","49","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","31","49",".","49","26"
"08/03/1999","40","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","24","40",".","39","25"
"08/04/1999","46","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","25","46","25","36","20"
"08/05/1999","59","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","24","19",".","59","27"
"08/06/1999","58","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","22","13",".","58","24"
"08/07/1999","20","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","17","20",".","15","14"
"08/08/1999","30","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","18","30",".","13","30"
"08/09/1999","48","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","30","48",".","48","15"
"08/10/1999","55","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","23","54","26","55","18"
"08/11/1999","23","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","22","23",".","17","14"
"08/12/1999","33","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","24","33",".","22","21"
"08/13/1999","23","CO","HAZELDELL/7701 NE HIGHWAY 99","53-011-0016","AQS","23","21",".","13","17"
"08/14/1999","26","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","23","26",".","11","21"
"08/15/1999","33","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","18","33",".","15","22"
"08/16/1999","37","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","30","27","26","37","25"
"08/17/1999","51","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","27","42",".","51","17"
"08/18/1999","54","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","19","20",".","54","25"
"08/19/1999","45","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","26","45",".","38","35"
"08/20/1999","49","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","25","42",".","49","31"
"08/21/1999","31","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","18","31",".","17","12"
"08/22/1999","45","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","18","45","27","33","19"
"08/23/1999","58","Ozone","VANCOUVER - BLAIRMONT DR","53-011-0011","AQS","35","58",".","55","41"
"08/24/1999","105","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","26","105",".","35","20"
"08/25/1999","28","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","20","28",".","28","21"
"08/26/1999","35","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","32","33",".","35","22"
"08/27/1999","59","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","42","51",".","59","55"
"08/28/1999","61","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","41","61","28","46","33"
"08/29/1999","26","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","19","26",".","13","15"
"08/30/1999","22","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","22","22",".","20","21"
"08/31/1999","26","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","23","26",".","21","25"
"09/01/1999","38","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","33","26",".","38","28"
"09/02/1999","36","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","28","36",".","33","32"
"09/03/1999","44","NO2","Portland - SE Lafayette","41-051-0080","AQS","33","38","33","42","44"
"09/04/1999","64","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","24","64",".","45","32"
"09/05/1999","33","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","19","33",".","26","25"
"09/06/1999","31","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","17","31",".","13","11"
"09/07/1999","38","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","30","38",".","32","25"
"09/08/1999","47","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","33","47",".","44","39"
"09/09/1999","37","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","25","37","30","34","33"
"09/10/1999","33","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","24","30",".","33","26"
"09/11/1999","39","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","18","39",".","26","25"
"09/12/1999","36","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","19","36",".","23","9"
"09/13/1999","51","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","41","44",".","51","46"
"09/14/1999","71","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","36","71",".","66","51"
"09/15/1999","53","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","23","30","29","53","22"
"09/16/1999","39","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","19","25",".","39","25"
"09/17/1999","60","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","30","25",".","60","31"
"09/18/1999","56","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","27","44",".","56","30"
"09/19/1999","56","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","28","47",".","56","48"
"09/20/1999","59","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","34","47",".","59","32"
"09/21/1999","72","NO2","Portland - SE Lafayette","41-051-0080","AQS","42","58","45","61","72"
"09/22/1999","80","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","38","80",".","57","44"
"09/23/1999","38","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","25","25",".","38","36"
"09/24/1999","34","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","25","34",".","30","19"
"09/25/1999","30","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","16","30",".","14","16"
"09/26/1999","30","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","14","30",".","21","16"
"09/27/1999","40","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","24","31","31","40","25"
"09/28/1999","43","CO","","53-011-0010","AQS","43","41",".","40","33"
"09/29/1999","45","CO","","53-011-0010","AQS","45","32",".","44","34"
"09/30/1999","52","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","23","19",".","52","34"
"10/01/1999","54","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","40",".",".","54","."
"10/02/1999","44","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","26",".",".","44","."
"10/03/1999","52","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","48",".","31","52","."
"10/04/1999","58","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","47",".",".","58","."
"10/05/1999","54","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","27",".",".","54","."
"10/06/1999","41","CO","","41-051-0243","AQS","41",".",".","26","."
"10/07/1999","34","CO","","41-051-0243","AQS","34",".",".","21","."
"10/08/1999","34","CO","","41-051-0243","AQS","34",".",".","31","."
"10/09/1999","48","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","36",".","19","48","."
"10/10/1999","43","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","28",".",".","43","."
"10/11/1999","66","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","33",".",".","66","."
"10/12/1999","64","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","45",".",".","64","."
"10/13/1999","54","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","45",".",".","54","."
"10/14/1999","35","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","28",".",".","35","."
"10/15/1999","55","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","31",".","27","55","."
"10/16/1999","39","CO","","53-011-0010","AQS","39",".",".","34","."
"10/17/1999","49","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","39",".",".","49","."
"10/18/1999","47","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","27",".",".","47","."
"10/19/1999","45","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","41",".",".","45","."
"10/20/1999","70","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","55",".",".","70","."
"10/21/1999","70","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","68",".","55","70","."
"10/22/1999","77","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","61",".",".","77","."
"10/23/1999","79","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","66",".",".","79","."
"10/24/1999","49","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","24",".",".","49","."
"10/25/1999","72","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","32",".",".","72","."
"10/26/1999","57","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","30",".",".","57","."
"10/27/1999","38","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","32",".","13","38","."
"10/28/1999","25","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","23",".",".","25","."
"10/29/1999","67","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","36",".",".","67","."
"10/30/1999","111","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","34",".",".","111","."
"10/31/1999","33","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","28",".",".","33","."
"11/01/1999","30","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","23",".",".","30","."
"11/02/1999","73","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","38",".","36","73","."
"11/03/1999","62","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","39",".",".","62","."
