STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060616,-9999,-9999,-9999,-9999,80,64,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060617,-9999,-9999,-9999,-9999,99,78,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060618,-9999,-9999,-9999,-9999,98,74,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060619,-9999,-9999,-9999,-9999,88,68,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060620,-9999,-9999,-9999,-9999,80,67,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060621,-9999,-9999,-9999,-9999,80,65,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060622,-9999,-9999,-9999,-9999,79,65,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060623,-9999,-9999,-9999,-9999,78,62,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060624,-9999,-9999,-9999,-9999,76,62,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060625,-9999,-9999,-9999,-9999,73,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060626,-9999,-9999,-9999,-9999,74,62,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060627,-9999,-9999,-9999,-9999,72,62,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060628,-9999,-9999,-9999,-9999,75,62,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060629,-9999,-9999,-9999,-9999,77,63,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060630,-9999,-9999,-9999,-9999,80,64,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060701,-9999,-9999,-9999,-9999,65,62,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060702,-9999,-9999,-9999,-9999,65,64,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060703,-9999,-9999,-9999,-9999,66,65,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060704,-9999,-9999,-9999,-9999,83,68,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060705,-9999,-9999,-9999,-9999,88,68,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060706,-9999,-9999,-9999,-9999,89,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060707,-9999,-9999,-9999,-9999,86,68,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060708,-9999,-9999,-9999,-9999,89,76,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060709,-9999,-9999,-9999,-9999,91,71,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060710,-9999,-9999,-9999,-9999,83,74,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060711,-9999,-9999,-9999,-9999,92,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060712,-9999,-9999,-9999,-9999,84,72,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060713,-9999,-9999,-9999,-9999,82,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060714,-9999,-9999,-9999,-9999,85,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060715,-9999,-9999,-9999,-9999,83,71,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060716,-9999,-9999,-9999,-9999,82,72,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060717,-9999,-9999,-9999,-9999,83,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060718,-9999,-9999,-9999,-9999,82,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060719,-9999,-9999,-9999,-9999,82,68,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060720,-9999,-9999,-9999,-9999,86,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060721,-9999,-9999,-9999,-9999,86,68,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060722,-9999,-9999,-9999,-9999,88,74,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060723,-9999,-9999,-9999,-9999,89,72,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060724,-9999,-9999,-9999,-9999,89,75,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060725,0.60,-9999,-9999,-9999,85,78,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060726,-9999,-9999,-9999,-9999,88,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060727,-9999,-9999,-9999,-9999,83,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060728,-9999,-9999,-9999,-9999,85,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060729,-9999,-9999,-9999,-9999,78,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060730,-9999,-9999,-9999,-9999,86,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060731,-9999,-9999,-9999,-9999,83,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060801,-9999,-9999,-9999,-9999,80,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060802,-9999,-9999,-9999,-9999,85,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060803,-9999,-9999,-9999,-9999,90,71,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060804,-9999,-9999,-9999,-9999,86,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060805,-9999,-9999,-9999,-9999,84,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060806,-9999,-9999,-9999,-9999,87,68,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060807,-9999,-9999,-9999,-9999,84,68,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060808,-9999,-9999,-9999,-9999,82,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060809,-9999,-9999,-9999,-9999,82,68,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060810,-9999,-9999,-9999,-9999,84,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060811,-9999,-9999,-9999,-9999,82,69,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060812,-9999,-9999,-9999,-9999,91,68,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060813,-9999,-9999,-9999,-9999,95,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060814,-9999,-9999,-9999,-9999,93,73,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060815,-9999,-9999,-9999,-9999,91,72,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060816,-9999,-9999,-9999,-9999,94,74,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060817,-9999,-9999,-9999,-9999,90,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060818,-9999,-9999,-9999,-9999,87,68,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060819,-9999,-9999,-9999,-9999,83,67,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060820,0.04,-9999,-9999,-9999,82,65,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060821,-9999,-9999,-9999,-9999,80,65,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060822,-9999,-9999,-9999,-9999,78,61,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060823,-9999,-9999,-9999,-9999,84,63,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060824,-9999,-9999,-9999,-9999,83,64,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060825,-9999,-9999,-9999,-9999,82,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060826,-9999,-9999,-9999,-9999,80,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060827,-9999,-9999,-9999,-9999,82,64,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060828,-9999,-9999,-9999,-9999,80,65,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060829,-9999,-9999,-9999,-9999,81,65,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060830,-9999,-9999,-9999,-9999,80,66,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060831,-9999,-9999,-9999,-9999,84,67,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060901,-9999,-9999,-9999,-9999,82,63,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060902,-9999,-9999,-9999,-9999,86,64,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060903,-9999,-9999,-9999,-9999,80,65,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060904,-9999,-9999,-9999,-9999,81,61,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060905,-9999,-9999,-9999,-9999,80,62,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060906,-9999,-9999,-9999,-9999,82,64,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060907,-9999,-9999,-9999,-9999,85,65,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060908,-9999,-9999,-9999,-9999,84,64,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060909,-9999,-9999,-9999,-9999,80,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060910,-9999,-9999,-9999,-9999,82,62,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060911,-9999,-9999,-9999,-9999,83,61,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060912,-9999,-9999,-9999,-9999,86,65,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060913,-9999,-9999,-9999,-9999,87,64,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060914,-9999,-9999,-9999,-9999,88,65,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060915,-9999,-9999,-9999,-9999,86,63,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060916,-9999,-9999,-9999,-9999,90,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060917,-9999,-9999,-9999,-9999,92,69,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060918,-9999,-9999,-9999,-9999,94,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060919,-9999,-9999,-9999,-9999,91,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060920,-9999,-9999,-9999,-9999,82,65,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060921,-9999,-9999,-9999,-9999,82,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060922,-9999,-9999,-9999,-9999,80,63,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060923,-9999,-9999,-9999,-9999,77,61,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060924,-9999,-9999,-9999,-9999,76,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060925,-9999,-9999,-9999,-9999,80,61,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060926,-9999,-9999,-9999,-9999,80,62,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060927,-9999,-9999,-9999,-9999,80,61,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060928,-9999,-9999,-9999,-9999,77,63,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060929,-9999,-9999,-9999,-9999,87,68,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060930,0.05,-9999,-9999,-9999,105,84,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061001,-9999,-9999,-9999,-9999,98,78,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061002,-9999,-9999,-9999,-9999,86,66,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061003,-9999,-9999,-9999,-9999,84,62,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061004,-9999,-9999,-9999,-9999,82,67,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061005,-9999,-9999,-9999,-9999,80,65,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061006,-9999,-9999,-9999,-9999,80,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061007,-9999,-9999,-9999,-9999,79,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061008,-9999,-9999,-9999,-9999,80,57,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061009,-9999,-9999,-9999,-9999,80,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061010,-9999,-9999,-9999,-9999,83,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061011,-9999,-9999,-9999,-9999,79,57,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061012,-9999,-9999,-9999,-9999,80,56,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061013,-9999,-9999,-9999,-9999,80,54,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061014,-9999,-9999,-9999,-9999,86,56,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061015,-9999,-9999,-9999,-9999,85,56,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061016,-9999,-9999,-9999,-9999,80,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061017,-9999,-9999,-9999,-9999,79,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061018,-9999,-9999,-9999,-9999,73,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061019,-9999,-9999,-9999,-9999,74,57,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061020,-9999,-9999,-9999,-9999,73,53,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061021,-9999,-9999,-9999,-9999,76,55,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061022,-9999,-9999,-9999,-9999,69,49,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061023,-9999,-9999,-9999,-9999,73,55,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061024,-9999,-9999,-9999,-9999,80,55,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061025,-9999,-9999,-9999,-9999,87,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061026,-9999,-9999,-9999,-9999,90,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061027,-9999,-9999,-9999,-9999,80,59,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19061028,-9999,-9999,-9999,-9999,84,62,-9999
