Identification,Latitude,Longitude,Time of Observation,Sea Surface Temperature
ATGM1,44.4,291.8,2015-01-01T21:00:00,4.9
ATGM1,44.4,291.8,2015-01-01T21:06:00,4.9
ATGM1,44.4,291.8,2015-01-01T21:12:00,4.9
ATGM1,44.4,291.8,2015-01-01T21:18:00,4.9
ATGM1,44.4,291.8,2015-01-01T21:24:00,4.7
ATGM1,44.4,291.8,2015-01-01T21:30:00,4.8
ATGM1,44.4,291.8,2015-01-01T21:36:00,4.6
ATGM1,44.4,291.8,2015-01-01T21:42:00,4.6
ATGM1,44.4,291.8,2015-01-01T21:48:00,4.9
ATGM1,44.4,291.8,2015-01-01T21:54:00,5
ATGM1,44.4,291.8,2015-01-01T22:00:00,4.9
ATGM1,44.4,291.8,2015-01-01T22:06:00,4.9
ATGM1,44.4,291.8,2015-01-01T22:12:00,5
ATGM1,44.4,291.8,2015-01-01T22:18:00,5.1
ATGM1,44.4,291.8,2015-01-01T22:24:00,5
ATGM1,44.4,291.8,2015-01-01T22:36:00,5
ATGM1,44.4,291.8,2015-01-01T22:42:00,5.2
ATGM1,44.4,291.8,2015-01-01T22:48:00,5.1
ATGM1,44.4,291.8,2015-01-01T22:54:00,5
ATGM1,44.4,291.8,2015-01-01T23:00:00,5
ATGM1,44.4,291.8,2015-01-01T23:06:00,5
ATGM1,44.4,291.8,2015-01-01T23:12:00,4.9
ATGM1,44.4,291.8,2015-01-01T23:18:00,4.7
ATGM1,44.4,291.8,2015-01-01T23:24:00,4.6
ATGM1,44.4,291.8,2015-01-01T23:30:00,4.6
ATGM1,44.4,291.8,2015-01-01T23:36:00,4.7
ATGM1,44.4,291.8,2015-01-01T23:42:00,4.6
ATGM1,44.4,291.8,2015-01-01T23:48:00,4.9
ATGM1,44.4,291.8,2015-01-01T23:54:00,5.3
ATGM1,44.4,291.8,2015-01-02T00:00:00,5
ATGM1,44.4,291.8,2015-01-02T00:12:00,5.5
ATGM1,44.4,291.8,2015-01-02T00:18:00,4.8
ATGM1,44.4,291.8,2015-01-02T00:24:00,4.8
ATGM1,44.4,291.8,2015-01-02T00:30:00,4.7
ATGM1,44.4,291.8,2015-01-02T00:36:00,4.8
ATGM1,44.4,291.8,2015-01-02T00:42:00,4.8
ATGM1,44.4,291.8,2015-01-02T00:48:00,4.8
ATGM1,44.4,291.8,2015-01-02T00:54:00,4.6
ATGM1,44.4,291.8,2015-01-02T01:00:00,4.5
ATGM1,44.4,291.8,2015-01-02T01:06:00,4.4
ATGM1,44.4,291.8,2015-01-02T01:12:00,4.4
ATGM1,44.4,291.8,2015-01-02T01:18:00,4.4
ATGM1,44.4,291.8,2015-01-02T01:24:00,4.4
ATGM1,44.4,291.8,2015-01-02T01:30:00,4.4
ATGM1,44.4,291.8,2015-01-02T01:36:00,4.5
ATGM1,44.4,291.8,2015-01-02T01:42:00,4.5
ATGM1,44.4,291.8,2015-01-02T01:48:00,4.5
ATGM1,44.4,291.8,2015-01-02T01:54:00,4.6
ATGM1,44.4,291.8,2015-01-02T02:00:00,4.6
ATGM1,44.4,291.8,2015-01-02T02:06:00,4.6
ATGM1,44.4,291.8,2015-01-02T02:12:00,4.6
ATGM1,44.4,291.8,2015-01-02T02:18:00,4.6
ATGM1,44.4,291.8,2015-01-02T02:24:00,4.6
ATGM1,44.4,291.8,2015-01-02T02:30:00,4.7
ATGM1,44.4,291.8,2015-01-02T02:36:00,4.7
ATGM1,44.4,291.8,2015-01-02T02:42:00,4.7
ATGM1,44.4,291.8,2015-01-02T02:48:00,4.8
ATGM1,44.4,291.8,2015-01-02T02:54:00,4.8
ATGM1,44.4,291.8,2015-01-02T03:00:00,4.8
ATGM1,44.4,291.8,2015-01-02T03:06:00,4.7
ATGM1,44.4,291.8,2015-01-02T03:12:00,4.8
ATGM1,44.4,291.8,2015-01-02T03:18:00,4.8
ATGM1,44.4,291.8,2015-01-02T03:24:00,4.8
ATGM1,44.4,291.8,2015-01-02T03:30:00,4.8
ATGM1,44.4,291.8,2015-01-02T03:36:00,4.8
ATGM1,44.4,291.8,2015-01-02T03:42:00,4.7
ATGM1,44.4,291.8,2015-01-02T03:48:00,4.7
ATGM1,44.4,291.8,2015-01-02T03:54:00,4.7
ATGM1,44.4,291.8,2015-01-02T04:00:00,4.6
ATGM1,44.4,291.8,2015-01-02T04:06:00,4.6
ATGM1,44.4,291.8,2015-01-02T04:12:00,4.6
ATGM1,44.4,291.8,2015-01-02T04:18:00,4.6
ATGM1,44.4,291.8,2015-01-02T04:24:00,4.6
ATGM1,44.4,291.8,2015-01-02T04:30:00,4.6
ATGM1,44.4,291.8,2015-01-02T04:36:00,4.6
ATGM1,44.4,291.8,2015-01-02T04:42:00,4.6
ATGM1,44.4,291.8,2015-01-02T04:48:00,4.7
ATGM1,44.4,291.8,2015-01-02T04:54:00,4.7
ATGM1,44.4,291.8,2015-01-02T05:00:00,4.7
ATGM1,44.4,291.8,2015-01-02T05:06:00,4.7
ATGM1,44.4,291.8,2015-01-02T05:12:00,4.7
ATGM1,44.4,291.8,2015-01-02T05:18:00,4.6
ATGM1,44.4,291.8,2015-01-02T05:24:00,4.7
ATGM1,44.4,291.8,2015-01-02T05:30:00,4.7
ATGM1,44.4,291.8,2015-01-02T05:36:00,4.6
ATGM1,44.4,291.8,2015-01-02T05:42:00,4.5
ATGM1,44.4,291.8,2015-01-02T05:48:00,4.6
ATGM1,44.4,291.8,2015-01-02T05:54:00,4.6
ATGM1,44.4,291.8,2015-01-02T06:00:00,4.5
ATGM1,44.4,291.8,2015-01-02T06:06:00,4.6
ATGM1,44.4,291.8,2015-01-02T06:12:00,4.6
ATGM1,44.4,291.8,2015-01-02T06:18:00,4.6
ATGM1,44.4,291.8,2015-01-02T06:24:00,4.6
ATGM1,44.4,291.8,2015-01-02T06:30:00,4.6
ATGM1,44.4,291.8,2015-01-02T06:36:00,4.7
ATGM1,44.4,291.8,2015-01-02T06:42:00,4.6
ATGM1,44.4,291.8,2015-01-02T06:48:00,4.7
ATGM1,44.4,291.8,2015-01-02T06:54:00,4.6
ATGM1,44.4,291.8,2015-01-02T07:00:00,4.7
ATGM1,44.4,291.8,2015-01-02T07:06:00,4.6
ATGM1,44.4,291.8,2015-01-02T07:12:00,4.6
ATGM1,44.4,291.8,2015-01-02T07:18:00,4.6
ATGM1,44.4,291.8,2015-01-02T07:24:00,4.6
ATGM1,44.4,291.8,2015-01-02T07:30:00,4.6
ATGM1,44.4,291.8,2015-01-02T07:36:00,4.6
ATGM1,44.4,291.8,2015-01-02T07:42:00,4.6
ATGM1,44.4,291.8,2015-01-02T07:48:00,4.7
ATGM1,44.4,291.8,2015-01-02T07:54:00,4.8
ATGM1,44.4,291.8,2015-01-02T08:00:00,5.1
ATGM1,44.4,291.8,2015-01-02T08:06:00,5
ATGM1,44.4,291.8,2015-01-02T08:12:00,5.1
ATGM1,44.4,291.8,2015-01-02T08:18:00,5.2
ATGM1,44.4,291.8,2015-01-02T08:24:00,5.4
ATGM1,44.4,291.8,2015-01-02T08:30:00,5.5
ATGM1,44.4,291.8,2015-01-02T08:36:00,5.5
ATGM1,44.4,291.8,2015-01-02T08:42:00,5.6
ATGM1,44.4,291.8,2015-01-02T08:48:00,5.6
ATGM1,44.4,291.8,2015-01-02T08:54:00,5.5
ATGM1,44.4,291.8,2015-01-02T09:00:00,5.4
ATGM1,44.4,291.8,2015-01-02T09:06:00,5.3
ATGM1,44.4,291.8,2015-01-02T09:12:00,5.2
ATGM1,44.4,291.8,2015-01-02T09:18:00,5.2
ATGM1,44.4,291.8,2015-01-02T09:24:00,5
ATGM1,44.4,291.8,2015-01-02T09:30:00,5
ATGM1,44.4,291.8,2015-01-02T09:36:00,4.9
ATGM1,44.4,291.8,2015-01-02T09:42:00,5
ATGM1,44.4,291.8,2015-01-02T09:48:00,4.9
ATGM1,44.4,291.8,2015-01-02T09:54:00,4.9
ATGM1,44.4,291.8,2015-01-02T10:00:00,4.9
ATGM1,44.4,291.8,2015-01-02T10:06:00,4.8
ATGM1,44.4,291.8,2015-01-02T10:12:00,5.1
ATGM1,44.4,291.8,2015-01-02T10:18:00,4.9
ATGM1,44.4,291.8,2015-01-02T10:24:00,5.2
ATGM1,44.4,291.8,2015-01-02T10:30:00,5
ATGM1,44.4,291.8,2015-01-02T10:36:00,5
ATGM1,44.4,291.8,2015-01-02T10:42:00,5
ATGM1,44.4,291.8,2015-01-02T10:48:00,4.9
ATGM1,44.4,291.8,2015-01-02T10:54:00,5
ATGM1,44.4,291.8,2015-01-02T11:00:00,4.9
ATGM1,44.4,291.8,2015-01-02T11:06:00,4.9
ATGM1,44.4,291.8,2015-01-02T11:12:00,5
ATGM1,44.4,291.8,2015-01-02T11:18:00,4.9
ATGM1,44.4,291.8,2015-01-02T11:24:00,5
ATGM1,44.4,291.8,2015-01-02T11:30:00,4.7
ATGM1,44.4,291.8,2015-01-02T11:36:00,4.7
ATGM1,44.4,291.8,2015-01-02T11:42:00,4.5
ATGM1,44.4,291.8,2015-01-02T11:48:00,4.5
ATGM1,44.4,291.8,2015-01-02T11:54:00,4.5
ATGM1,44.4,291.8,2015-01-02T12:00:00,4.6
ATGM1,44.4,291.8,2015-01-02T12:06:00,4.7
