STATION,NAME,DATE,WT01,WT03,WT04,WT05,WT06,WT07,WT08,WT11,WT14
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-14,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-15,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-16,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-17,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-18,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-19,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-20,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-21,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-22,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-23,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-24,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-25,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-26,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-27,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-28,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-29,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-30,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-31,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-01,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-02,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-03,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-04,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-05,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-06,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-07,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-08,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-09,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-10,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-11,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-12,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-13,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-14,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-15,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-16,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-17,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-18,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-19,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-20,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-21,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-22,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-23,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-24,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-25,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-26,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-27,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-28,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-29,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-04-30,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-05-01,,,,,,,,,
