STATION,STATION_NAME,DATE,TAVG,TMAX,TMIN
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300402,-9999,64,52
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300403,-9999,70,56
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300404,-9999,68,50
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300405,-9999,62,53
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300406,-9999,66,49
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300407,-9999,75,51
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300408,-9999,63,44
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300409,-9999,71,43
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300410,-9999,78,59
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300411,-9999,81,59
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300412,-9999,85,63
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300413,-9999,83,64
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300414,-9999,81,61
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300415,-9999,82,62
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300416,-9999,80,61
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300417,-9999,79,62
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300418,-9999,67,58
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300419,-9999,70,52
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300420,-9999,72,50
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300421,-9999,78,55
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300422,-9999,77,51
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300423,-9999,72,49
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300424,-9999,62,44
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300425,-9999,66,45
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300426,-9999,69,46
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300427,-9999,68,51
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300428,-9999,79,59
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300429,-9999,78,60
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300430,-9999,77,60
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300501,-9999,80,61
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300502,-9999,82,63
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,19300503,-9999,85,62
