STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,11/14/2011,0.5,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,11/15/2011,0.5,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,11/18/2011,37.8,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,11/19/2011,10.2,",,N",8,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,11/20/2011,0,"T,,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,11/21/2011,0,"T,,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,11/22/2011,55.9,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,11/23/2011,79,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,11/24/2011,3.6,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,11/25/2011,20.8,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,11/26/2011,1,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,11/27/2011,9.7,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,11/28/2011,3.6,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,11/29/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,11/30/2011,4.8,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/1/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/2/2011,0,",,N",0,",,N",,,,,,,,
